index,id,video,gt_label,pred_label,pred_text
10,4863,占道施工_20240421095734_运行安全_35504665.mp4,占道施工,二轮车辆闯入,2024年4月21日10:09:28至10:09:58期间，外环高速蕴川立交东2枪机2监控画面显示，在沪太路出口前500米处，一辆二轮车（摩托车）沿最左侧车道行驶，驾驶员佩戴黄色反光背心。该路段为城市快速路，禁止二轮车辆通行，且无专用非机动车道。摩托车在车流中穿行，存在逆行风险，对正常行驶的机动车造成潜在安全隐患，引发后方车辆紧急避让，导致局部交通秩序受到干扰。此行为属于典型的二轮车辆闯入交通事件，违反了道路通行规定，构成交通异常。
13,4866,异常停车_20230720162354_突发事件_33390958.mp4,异常停车,二轮车辆闯入,2023年7月20日16时21分05秒，在外环高速丰翔路南段，一辆二轮摩托车驶入主路，行驶过程中未在专用通道或合法区域通行，且无明显警示标志或防护装备，驾驶员佩戴头盔，车辆有牌照特征，其闯入行为导致周边车辆紧急避让，存在较大安全隐患，属于典型的二轮车辆闯入交通异常事件。
15,4868,多车事故_20240530152809_突发事件_35654829.mp4,多车事故,异常停车,2024年5月30日15时28分至15时29分，外环高速莘朱路路段，一辆灰色轿车在最左侧车道内完全静止，车辆开启双闪灯，驾驶员下车后站在车旁，导致后方车辆被迫减速绕行，造成交通流受阻。该车长时间停靠在行车道上，影响了正常通行秩序，存在安全隐患。异常特征为车辆在非停车区域静止，且无明显故障迹象或警示标志，符合异常停车判断标准。
16,4869,二轮车辆闯入_20230715120335_突发事件_1149569.mp4,二轮车辆闯入,异常停车,2023年7月15日14时03分05秒至14时03分53秒，外环高速仙霞路（内）路段，所有车辆均在正常行驶，未见任何车辆在非停车区域静止、无信号允许停车、未开启双闪灯或驾驶员不在车内等情况。车道无异常物质（如明显物体或车辆碰撞痕迹），交通秩序正常，无其他车辆因此发生碰撞或停车行为。
18,4872,抛洒物_20240316111134_运行安全_35415772.mp4,抛洒物,多车事故,2024年3月4日13时14分，外环高速虹梅南路路段出现交通异常事件，即抛洒物事件。视频显示，道路中央隔离带旁有红色布状抛洒物，位于右侧车道，持续存在并随车辆行驶情况持续扩展。该区域无明显事故痕迹或施工迹象，但多辆货车及轿车在经过该区域时均未发生避让或减速行为，表明该物体对行车安全构成潜在威胁。抛洒物尺寸较大，呈不规则形状，可能为事故残留，增加行车风险，且无人员靠近处理。此事件影响了该路段正常通行秩序，虽未造成实际交通事故，但存在安全隐患。
29,4883,拥堵_20231026084656_突发事件_35000276.mp4,拥堵,占道施工,2023年10月26日08:46至08:47期间，外环高速曹安路路段出现拥堵交通事件。该路段为双向多车道高速公路，右侧方向车流密集，车辆行驶缓慢，部分车辆处于低速移动或短暂停滞状态，排队长度持续增加，影响通行效率。涉事车辆包括多辆轿车、货车及厢式货车，其中以白色、红色和蓝色货车为主，车辆间距较小，车距明显缩短，存在频繁变道行为。左侧方向车流相对顺畅，未见明显拥堵。拥堵主要集中在右侧车道，且无明显事故或施工迹象，推测为高峰时段车流量过大所致。异常特征表现为车辆行驶速度显著降低，车流密度高，后方车辆被迫减速并频繁变道，整体通行受阻。
32,4886,拥堵_20240112102255_突发事件_35313655.mp4,拥堵,二轮车辆闯入,2023年12月23日12时01分至12时02分，外环高速武威路南（内）路段出现严重交通拥堵事件。该路段为多车道高速公路，双向车流密集，车辆包括轿车、货车、客车及大型运输车辆等。视频显示，从12:01:45开始，主路及右侧匝道方向车辆行驶缓慢，车距明显缩短，部分车辆几乎处于停滞状态，尤其在右侧车道和中间车道形成连续排队现象，车辆以低速或停顿状态持续前行，未见明显事故或障碍物导致阻塞。拥堵影响范围覆盖多个车道，持续时间超过一分钟且无缓解趋势，符合典型拥堵特征。现场未发现异常停车、施工、抛洒物或二轮车辆闯入等情况，但因车流量大且集中在特定区域，导致通行效率显著下降，存在潜在安全隐患。
33,4887,拥堵_20240305072834_突发事件_35388499.mp4,拥堵,抛洒物,2024年3月5日早上7时28分至7时29分，S20外至G60出省方向3枪机2监控路段出现交通拥堵事件。该路段为城市高架道路，路面湿滑，天气阴雨，能见度较低。视频显示，多辆小汽车、货车及一辆黄色公交车在双向车道中缓慢行驶或完全停止，车流密集且持续排队，车辆尾灯密集亮起，表明车速极低或处于停滞状态。涉事车辆包括白色轿车、黑色轿车、红色集装箱货车、蓝色集装箱货车、黄色公交车以及多辆小型客车，均在正常车道内行驶，未见异常停车或事故迹象。由于车流量大且通行速度极慢，导致后方车辆被迫减速并排成长队，影响了整体通行效率。该拥堵发生在早高峰时段，属于典型的城市道路早高峰拥堵现象，无明显施工、事故或抛洒物等直接诱因，推测可能与车流集中或天气因素有关。
35,4889,拥堵_20240106090708_突发事件_35296938.mp4,拥堵,异常停车,2024年1月8日05:07至05:08期间，在S20内至G60出省方向的高速公路上，发生了明显的交通拥堵事件。视频显示，多辆轿车、货车和大型客车在该路段缓慢移动或完全停止，排队车辆长度超过正常范围且持续一段时间无缓解趋势，尤其是在靠近前方出口处的路段。涉事车辆包括白色轿车、黑色轿车、红色集装箱货车以及多辆小型客车，它们依次缓慢前行或停滞不前。此次拥堵导致后方车辆被迫减速或停车等待，严重影响了道路通行效率，异常特征表现为车辆密集、行驶速度极低以及部分车辆开启双闪灯警示。
37,4891,拥堵_20240108171924_突发事件_35302871.mp4,拥堵,异常停车,2024年01月18日17:21:55至17:22:03，在外环高速富长路西枪机1处，多辆汽车和货车在夜间行驶，道路出现严重拥堵。涉事车辆包括多辆小轿车和大型货车，它们在车道上缓慢移动或完全停止，形成长达数百米的车队。车辆尾灯亮起，显示其行驶状态缓慢且受阻。该路段为弯道，车流密集，且无明显施工或事故迹象，但整体交通流量大导致通行效率下降，影响了道路的正常运行。异常特征表现为车辆行驶速度显著降低，部分车辆刹车灯持续亮起，显示出驾驶员正在减速或停车等待。
