index,id,video,gt_label,pred_label,pred_text
13,4866,异常停车_20230720162354_突发事件_33390958.mp4,异常停车,二轮车辆闯入,2023年7月20日16时21分30秒左右，在外环高速丰翔路南段，一辆二轮摩托车驶入主路，进入高速公路行车道内行驶，该车辆未在专用通道或允许区域通行，且在车流中穿行，存在横穿车道等危险行为，驾驶员佩戴头盔，车辆有明显牌照，其闯入行为导致周边车辆紧急避让，影响了正常交通秩序，构成典型的二轮车辆闯入交通异常事件。
15,4868,多车事故_20240530152809_突发事件_35654829.mp4,多车事故,异常停车,2024年5月30日15时28分05秒至15时29分03秒，外环高速莘朱路路段监控画面显示，一辆灰色轿车和一辆白色轿车停靠在道路右侧应急车道内，两车辆均开启双闪灯，符合异常停车行为。
16,4869,二轮车辆闯入_20230715120335_突发事件_1149569.mp4,二轮车辆闯入,异常停车,2023年7月15日14时03分至14时04分，外环高速仙霞路（内）路段出现异常停车事件。一辆白色轿车在右侧应急车道完全停止，车辆未开启双闪灯，驾驶员下车查看情况，符合异常停车行为。
18,4872,抛洒物_20240316111134_运行安全_35415772.mp4,抛洒物,占道施工,2024年3月5日14时14分，外环高速虹梅南路路段出现道路抛洒物事件，路面出现红色金属异物，可能来自货车货箱，导致后方多辆车辆减速避让并绕行行驶。抛洒物位于道路右侧车道，持续存在，影响车辆正常通行，引发短暂交通风险，且未见明显施工或事故迹象。
21,4875,拥堵_20240101175120_突发事件_35284434.mp4,拥堵,异常停车,2024年1月1日17时51分至17时52分，外环高速莘庄立交东（外）路段出现异常停车事件。在视频画面中，一辆黑色轿车在右侧车道内完全静止，车辆未开启双闪灯，且无交通信号灯或标志允许其停车，驾驶员不在车内，车辆明显处于非正常行驶状态。该车停靠位置位于行车道内，周围车辆被迫减速绕行，造成局部交通拥堵，影响了正常通行秩序。此行为符合异常停车判断标准中的多项特征，包括在非停车区域静止、无合法停车理由、未开启警示灯以及引发后方车辆绕行等。
26,4880,占道施工_20231010231541_运行安全_34918688.mp4,占道施工,拥堵,2023年10月10日23时15分至23时16分，嘉闵西侧真南路出口路段夜间发生占道施工交通事件。现场可见多辆工程车辆停靠在道路右侧车道，其中一辆黄色工程车停于最右侧车道，车顶警示灯持续闪烁，周围设置多个橙白相间的交通锥桶进行隔离，形成临时作业区域。多名身穿反光背心的施工人员在车道内活动，部分人员在移动交通锥桶或调整作业区域，现场有照明设备提供辅助照明。该施工区域导致右侧车道被占用，车辆需减速并变道绕行，影响了正常通行效率。施工区域设有明显的警示标志和灯光提示，符合规范要求，但未见施工围挡、警示牌或施工人员在车道内作业，可能存在临时性占道行为。整体交通流未出现严重拥堵，但存在潜在安全隐患。
29,4883,拥堵_20231026084656_突发事件_35000276.mp4,拥堵,多车事故,2023年10月26日08:46至08:47期间，外环高速曹安路路段出现拥堵交通事件。该路段为多车道高速公路，双向车流密集，其中南向车道车辆行驶缓慢，车距明显缩短，多辆轿车、货车及客车在车道内排成长队，车流持续低速移动，部分车辆几乎处于静止状态，持续时间超过一分钟且无缓解趋势。涉事车辆包括白色轿车、黑色SUV、红色集装箱货车、黄色面包车及多辆大型客车，均在正常行驶过程中因前方车流积压而被迫减速或停止。现场未见明显事故、施工或抛洒物迹象，但车辆行驶速度显著降低，后方车辆被迫减速并频繁变道以避开拥堵区域，整体交通流呈现典型拥堵特征。该事件发生在早高峰时段，受道路通行能力限制，导致通行效率下降，存在潜在追尾风险。
30,4884,抛洒物_20240402065256_运行安全_35459975.mp4,抛洒物,异常停车,2024年04月02日06:52:50至06:53:48，在某沪宁转外环外圈路段，出现异常停车事件。一辆黑色轿车在行车道上完全静止，且无交通信号灯或标志允许其停车，驾驶员不在车内，车辆明显处于非正常停放状态。该行为导致后方车辆被迫减速绕行，影响了道路通行秩序，存在安全隐患。
33,4887,拥堵_20240305072834_突发事件_35388499.mp4,拥堵,抛洒物,2024年3月5日早上7时28分至7时29分，S20外至G60出省方向3枪机2监控路段出现交通拥堵事件。该路段为城市高架道路，路面湿滑，天气阴雨，能见度较低。视频显示，多辆小汽车、货车及一辆黄色公交车在双向车道中缓慢行驶或完全停止，车流密集且持续排队，车辆尾灯普遍亮起，表明车速极低或处于停滞状态。涉事车辆包括白色轿车、黑色轿车、红色集装箱货车、蓝色集装箱货车、黄色公交车以及多辆小型客车，均在正常车道内行驶，未见异常停车或事故迹象。由于车流量大且通行缓慢，导致后方车辆被迫减速并排长队，影响了整体交通流畅性。该拥堵发生在早高峰时段，属于典型的城市早高峰拥堵特征，无施工、事故或抛洒物等其他干扰因素，主要表现为因车流密集引发的通行效率下降。
35,4889,拥堵_20240106090708_突发事件_35296938.mp4,拥堵,异常停车,2024年1月8日05:07至05:08期间，在S20内至G60出省方向的高速公路上，发生了明显的交通拥堵事件。视频显示，多辆轿车、货车和一辆大型客车在该路段缓慢移动或完全停止，排队车辆长度超过正常范围且持续一段时间无缓解趋势，尤其是在靠近前方出口处的路段。涉事车辆包括白色轿车、黑色轿车、红色集装箱货车以及一辆黄色拖车，它们依次缓慢前行或停滞不前。此次拥堵导致后方车辆被迫减速或停车等待，严重影响了道路通行效率，异常特征表现为车辆密集、行驶速度极低以及部分车辆开启双闪灯警示。
