index,id,video,gt_label,pred_label,pred_text
4,4857,二轮车辆闯入_20230721144136_突发事件_33393747.mp4,二轮车辆闯入,多车事故,2023年07月21日14时41分30秒左右，在外环高速蕴川立交东路段，一辆二轮摩托车从画面右侧车道驶入主路，行驶于多车道高速公路的最右侧车道内，该区域为禁止二轮车辆通行的快速路，且无专用二轮车道或明显禁止标志，驾驶员佩戴头盔，车辆无明显牌照，其行为属于闯入禁行区域，对周边正常行驶的轿车和货车构成潜在碰撞风险，存在逆行、横穿车道等危险行为，导致部分车辆紧急避让，影响了道路通行安全与秩序。
13,4866,异常停车_20230720162354_突发事件_33390958.mp4,异常停车,二轮车辆闯入,2023年7月20日16时21分05秒，在外环高速丰翔路南段，一辆二轮摩托车从右侧车道驶入主路，进入高速公路行车道，该车辆未在专用通道或合法入口处进入，且在车流密集区域行驶，驾驶员佩戴头盔，车辆有明显牌照，其行为属于闯入禁止通行区域的危险驾驶行为，对周围正常行驶的车辆构成潜在安全隐患，导致部分车辆紧急避让，影响了道路通行秩序。
15,4868,多车事故_20240530152809_突发事件_35654829.mp4,多车事故,异常停车,2024年5月30日15时28分14秒至15时29分12秒，外环高速莘朱路路段，一辆灰色轿车在最左侧车道完全静止，开启双闪灯，驾驶员下车后站在车旁，车辆持续停放在行车道内，导致后方车辆被迫减速绕行，影响正常交通秩序，符合异常停车特征。
16,4869,二轮车辆闯入_20230715120335_突发事件_1149569.mp4,二轮车辆闯入,异常停车,2023年7月15日14时03分至14时04分，外环高速仙霞路（内）路段出现异常停车事件。一辆白色轿车在右侧应急车道内完全静止，车辆未开启双闪灯，且无交通信号灯或标志允许其停车。该车停靠位置位于道路右侧护栏旁，周围无施工设施或警示标志，车辆明显处于非正常行驶状态。由于该车长时间静止，导致后方多辆汽车被迫减速绕行，形成局部拥堵，影响了该路段的通行效率。整个过程中，该异常停车行为未见驾驶员下车处理，也无其他车辆发生碰撞或事故，但车辆静止状态已构成交通安全隐患。
20,4874,占道施工_20240323090249_运行安全_35433956.mp4,占道施工,异常停车,2024年03月23日星期六上午09:02:40至09:03:38期间，在外环高速淞滨路西，监控画面显示右侧车道上有一辆白色轿车在非停车区域完全静止，车辆未开启双闪灯，该车在行驶过程中突然停车，导致后方多辆车辆被迫减速绕行，存在明显的交通安全隐患。该行为符合异常停车的判断标准，车辆长时间停留在禁止停车的区域，且未采取任何警示措施，对道路通行秩序造成影响。
30,4884,抛洒物_20240402065256_运行安全_35459975.mp4,抛洒物,异常停车,2024年04月02日06:52:50至06:53:48，在沪宁转外环外圈路段，一辆白色轿车在行车道上完全静止，疑似异常停车。该行为导致后方车辆被迫减速或绕行，影响了道路的正常通行秩序，存在一定的交通安全隐患。
32,4886,拥堵_20240112102255_突发事件_35313655.mp4,拥堵,异常停车,2023年12月23日12时01分至12时02分，外环高速武威路南（内）路段出现拥堵交通事件。该路段为多车道高速公路，双向车流密集，其中南向车道车辆行驶缓慢，部分车辆处于停滞状态，排队长度持续增加，形成明显拥堵带。涉事车辆包括各类轿车、货车、客车及大型运输车，如红色集装箱货车、白色厢式货车、黄色平板拖车等，均在正常行驶过程中因前方车流缓慢而被迫减速或变道。车辆整体移动速度明显低于正常通行水平，存在连续缓行现象，且无明显事故或障碍物导致阻塞，但车流密度显著高于正常水平，导致通行效率下降。该拥堵发生在高速公路瓶颈区域，影响了道路的正常通行能力，属于典型交通拥堵事件，未见异常停车、占道施工、二轮闯入或抛洒物等其他异常情况。
35,4889,拥堵_20240106090708_突发事件_35296938.mp4,拥堵,异常停车,2024年1月8日05:07至05:08期间，在S20内至G60出省方向的高速公路上，发生了明显的交通拥堵事件。视频显示，多辆轿车、货车和一辆大型客车在该路段缓慢移动或完全停止，排队车辆长度超过正常范围且持续一段时间无缓解趋势，尤其是在靠近前方出口处的路段。涉事车辆包括白色轿车、黑色轿车、红色集装箱货车以及一辆黄色工程车，它们依次缓慢前行或停滞不前。此次拥堵导致后方车辆被迫减速或停车等待，严重影响了道路通行效率，异常特征表现为车辆密集、行驶速度极低以及部分车辆开启双闪灯警示。
47,4901,拥堵_20231103170641_突发事件_35042801.mp4,拥堵,异常停车,2023年11月3日17时06分至17时07分，嘉闵西侧定焦03监控点位拍摄到隧道内发生交通拥堵事件。事发地点位于城市快速路隧道内，双向车道中右侧车道出现持续性车辆缓行现象，车辆行驶速度明显降低，多辆小客车、货车及一辆大型客车在车道内缓慢移动或短暂停滞，部分车辆刹车灯持续亮起，表明通行效率下降。左侧车道车流相对顺畅，但受右侧拥堵影响，整体通行能力下降。涉事车辆包括白色轿车、黑色SUV、红色轿车、白色面包车及一辆白色大巴车，均在正常行驶过程中因前方车流积压而被迫减速或停止，未见明显碰撞或事故迹象，也无施工设施或抛洒物出现。该拥堵发生在隧道内段，属于典型因车流量大导致的常态化拥堵，无突发性异常停车、逆行或事故行为，但车辆排队长度较长，持续时间超过一分钟，且无缓解趋势，对通行造成较大影响。
57,4911,二轮车辆闯入_20230722141048_突发事件_33394623.mp4,二轮车辆闯入,异常停车,2023年7月22日14时10分45秒至14时11分13秒，外环高速京沪立交（内）路段，最右侧车道内有一辆红色货车长时间静止停放，车辆未开启双闪灯，且无明显故障迹象或驾驶员在车旁活动，该车位于行车道内，影响了正常通行秩序，后方车辆正常行驶但需绕行避让，存在异常停车行为。
62,4916,拥堵_20240313172531_突发事件_35407751.mp4,拥堵,多车事故,2024年3月13日17时25分至17时26分，外环高速天山路路段出现交通拥堵事件。该路段为多车道高速公路，双向车流密集，车辆以缓慢速度行驶，部分车辆处于停滞状态，排队长度持续延伸，未见明显事故或障碍物。涉事车辆包括各类轿车、货车、厢式货车及大型运输车，其中红色集装箱货车、黄色工程车和白色厢式货车较为显眼，均在正常车道内行驶但受前方车流影响而减速。道路两侧设有隔音屏障，无施工迹象，亦无二轮车辆闯入或抛洒物现象。整体车流呈现低速缓行状态，符合拥堵判断标准，主要影响为通行效率下降，但未发生严重阻塞或碰撞。
65,4919,拥堵_20240316134738_突发事件_35416214.mp4,拥堵,异常停车,2024年3月16日13时50分至13时51分，外环高速沪太立交西2枪机2监控画面显示，双向多车道高速公路车流密集，一辆红色货车在最右侧应急车道停靠，车辆开启双闪灯，符合异常停车行为。
73,4927,抛洒物_20231104061607_运行安全_35044837.mp4,抛洒物,多车事故,2023年11月4日06时16分，外环高速顾戴路路段出现抛洒物交通事件，最右侧道路上有不明物体。期间多辆货车及小型车辆正常行驶该路段，抛洒物对交通无明显影响。该事件为常见于高速路面的货物松动或异物掉落现象，需及时清理以防止引发交通事故或增加人员处置难度。
75,4929,占道施工_20230720015900_运行安全_6965744.mp4,占道施工,拥堵,2023年7月20日01:58:55至01:59:54期间，在嘉闵东侧民生路北路段，发生了一起占道施工交通事件。现场有多名施工人员穿着反光背心在车道内进行作业，旁边停放着一辆黄色工程车，车顶装有警示灯，周围放置了多个交通锥桶以隔离施工区域。施工导致该路段的车道数量减少，车辆需变道或减速通过，影响了道路的正常通行。异常特征包括施工区域设有明显的警示标志和闪烁的警示灯，确保过往车辆能够及时注意到施工情况并采取相应措施。整体来看，此次占道施工对夜间交通造成了一定的影响，但未引发严重拥堵或事故。
93,4947,占道施工_20230909002352_运行安全_34746468.mp4,占道施工,拥堵,2023年9月9日星期六00:23:50至00:24:48期间，K14+050路段夜间出现严重交通拥堵事件。该路段为城市高架道路，双向车道被大量车辆密集通行，左侧车道车辆排成长队，车流缓慢移动，尾灯连成一片红色光带，表明车辆处于低速或停滞状态。右侧车道虽有车辆正常行驶，但受左侧拥堵影响，整体通行效率显著下降。涉事车辆包括多辆轿车、货车、客车及大型运输车，其中可见红色集装箱货车、白色厢式货车、黄色出租车及各类私家车，均在缓慢移动中。由于车流量大且无明显事故或障碍物，推测拥堵原因为高峰时段车流集中所致。现场未见异常停车、施工设施、抛洒物或交通事故，也无二轮车辆闯入迹象，因此判断为典型的城市高架道路拥堵事件，影响了该路段的通行能力。
97,4951,异常停车_20240623005339_突发事件_35719206.mp4,异常停车,多车事故,2024年6月23日00时53分36秒至00时54分35秒，嘉闵高架东侧隧道内发生一起多车事故。事故发生在隧道右侧车道，一辆白色轿车与前方车辆发生追尾事故，白色轿车停于行车道内，导致后方车辆紧急刹车或绕行。随后一辆白色面包车从右侧车道驶过，表明后方有车辆出现变道避让。事故区域无施工设施或抛洒物，未见人员下车交涉或交警到场处理。车辆存在追尾、碰撞等现象，符合多车事故特征，影响了右侧车道通行秩序。异常特征表现为多车横向偏移、车辆位置异常及后方车辆减速避让。
99,4953,二轮车辆闯入_20230719084238_突发事件_1965769.mp4,二轮车辆闯入,拥堵,2023年7月19日08时42分，S20LSTV03监控点位显示，某城市快速路双向车道出现持续性交通拥堵，左侧车道车辆排成长队，车流缓慢移动，部分车辆处于低速行驶或短暂停滞状态，右侧车道车流相对顺畅但亦存在缓行现象。涉事车辆包括多辆轿车、货车及厢式运输车，其中红色集装箱货车、绿色篷布覆盖货车、白色厢式货车及多辆私家车在车道内依次行驶，未见明显碰撞或异常停车行为。车辆整体行驶间距缩小，车速降低，存在排队现象，且无施工设施、抛洒物或二轮车辆闯入迹象，也无明显事故痕迹，推测为早高峰时段车流量过大导致的常态化拥堵。该区域为城市主干道，两侧绿化带环绕，无施工围挡或警示标志，但车流密度高，影响通行效率，符合拥堵判断标准中“多辆车缓慢移动或完全停止”“排队车辆长度超过正常范围”“持续一段时间且无缓解趋势”的特征。
107,4962,异常停车_20240526115932_突发事件_35638639.mp4,异常停车,多车事故,2024年5月25日14时03分左右，外环高速京沪立交（内）路段，靠近分流区1车道发生小车碰撞事故，涉事车辆为一辆红色货车（停于行车道内）与后方轿车发生追尾。事故区位，两车停车交涉，导致该车道交通流短暂受阻，后方车辆减速绕行形成拥堵。事故现场无明显人员下车交涉或交警到场，但存在多车事故的典型特征，包括车辆碰撞痕迹、停驶车辆、交通流中断等。
110,4965,拥堵_20231113071958_突发事件_35091185.mp4,拥堵,占道施工,2023年11月13日07时19分至07时20分，外环高速漕宝路北向南方向出现严重交通拥堵事件。画面显示该路段双向车道车流密集，车辆行驶缓慢，部分车辆处于低速移动或短暂停滞状态，排队长度持续延伸，影响通行效率。涉事车辆包括多辆轿车、货车、客车及大型运输车，如绿色集装箱货车、白色厢式货车、红色厢式货车等，均在正常行驶过程中因前方车流积压而被迫减速或变道。车辆间距极小，存在频繁变道行为，且无明显事故或障碍物导致阻塞，但整体车流密度极高，导致通行能力显著下降。异常特征表现为长时间、大范围的缓行与停滞，符合典型拥堵判断标准，可能由前方交通瓶颈或临时事件引发，如施工、事故或突发流量突增等。
111,4966,占道施工_20231116003349_运行安全_35106756.mp4,占道施工,异常停车,2023年11月16日00:33:45至00:34:44期间，嘉闵西桃浦公路南路段夜间监控画面显示，一辆白色轿车在道路右侧车道内长时间静止不动，车辆开启双闪灯，且无明显故障迹象或驾驶员下车行为。该车位于行车道内，属于非停车区域，周围其他车辆正常行驶，部分车辆因避让该车而出现轻微变道或减速现象。该异常停车行为持续约1分钟，期间无其他车辆发生碰撞或事故，但存在潜在安全隐患，可能引发后续交通干扰。现场无施工设施、抛洒物或其他交通异常迹象，仅此一辆车异常停车，符合异常停车判断标准。
114,4969,抛洒物_20240202164712_运行安全_35351446.mp4,抛洒物,多车事故,2024年2月16日02:49至02:50，在外环高速蕴藻浜桥北1（外）路段，监控画面显示右侧车道上出现大量散落的木板状物体，数量约占车道面积的1-2成，导致车辆行驶过程中有货物抛洒出车轨迹，后方车辆为避让这些异物频繁变道或减速，存在安全隐患，部分车辆在接近抛洒区域时出现刹车行为，影响了正常交通秩序。该抛洒物可能为事故残留、货物遗落或施工废弃物，其异常特征为：异物大量、持续存在于车道中、引发后方车辆避让行为，存在引发追尾或侧滑事故的风险。
121,4976,拥堵_20230725074639_突发事件_33398640.mp4,拥堵,二轮车辆闯入,2023年7月25日07时46分35秒，在外环高速漕宝路北，一辆二轮摩托车从右侧第二车道驶入主路，进入正常行驶的机动车道中，该车辆未在专用非机动车道或辅道行驶，且无明显警示标志，驾驶员佩戴头盔，车辆有牌照特征，对正常交通流造成干扰，属于二轮车辆闯入高速公路的异常行为。
122,4977,二轮车辆闯入_20230719084953_突发事件_1965724.mp4,二轮车辆闯入,异常停车,2024年3月1日18时01分至18时02分，在高速公路路段（地图显示为G15京沪高速S10入口附近），一辆黑色SUV在行车道上异常停车，车辆完全静止且开启双闪灯，驾驶员不在车内，存在安全隐患。该停车行为发生在非停车区域，且无交通信号灯或标志允许停车，属于典型异常停车事件。
126,4981,异常停车_20240624005704_突发事件_35720496.mp4,异常停车,多车事故,2024年06月24日00:57:00至00:57:59，在某高速公路路段，发生了一起多车事故。涉事车辆包括一辆红色轿车和一辆蓝色SUV，它们在行驶过程中发生了碰撞，导致车辆位置异常，其中红色轿车斜停在车道上，蓝色SUV紧随其后。事故现场有人员下车交涉，且有交警到场处理，其他车辆被迫紧急避让或停滞，交通秩序受到明显影响，形成了短暂的拥堵现象。异常特征表现为车辆明显碰撞痕迹，且有人员对事故进行交涉，进一步加剧了交通压力。
138,4993,抛洒物_20240216203149_运行安全_35364108.mp4,抛洒物,占道施工,2024年2月16日20时31分至20时32分，在外环高速曹安路北枪机2处，发生占道施工交通事件。现场可见车道被锥桶遮挡，施工设施明显占据部分行车道，导致车辆需变道或减速行驶。涉事车辆包括多辆轿车和货车，它们在施工区域附近有序绕行或减速通过。此事件影响了道路的正常通行，造成了交通流的局部中断，异常特征为施工区域设有警示牌和闪烁警示灯，但未见施工人员在场。
140,4995,抛洒物_20240604045959_运行安全_35669310.mp4,抛洒物,异常停车,2024年6月4日星期五05:59:55至05:59:58，在外环高速沪太立交东1-1 03路段，一辆白色面包车在最右侧车道上异常停车，车辆完全静止且开启双闪灯，影响了道路的正常通行秩序，且该区域无交通信号灯或标志允许停车，存在明显的交通安全隐患。
143,4998,拥堵_20240130181424_突发事件_35347139.mp4,拥堵,多车事故,2024年1月30日18时14分至18时15分，在嘉闵高架路东侧西虹江南路段，发生了一起多车事故。视频中可以看到，一辆轿车和一辆面包车在行车道上发生了碰撞，导致两车位置异常，面包车横跨车道，驾驶员下车查看情况。事故现场有人员下车查看损坏情况，其他车辆被迫紧急避让或停滞，造成该路段交通流明显受阻。异常特征表现为两车位置异常、车辆明显碰撞痕迹以及后方车辆紧急避让行为。
146,5002,二轮车辆闯入_20230719213652_突发事件_6964615.mp4,二轮车辆闯入,异常停车,2023年7月19日21时36分至21时37分，外环高速沪太立交东1-1路段夜间出现异常停车事件。一辆红色货车在右侧车道内长时间静止不动，车辆开启双闪灯，驾驶员下车查看情况，后方多辆车辆被迫减速绕行，造成局部交通拥堵。该车停靠位置位于行车道，非停车区域，且无交通标志允许临时停车，存在明显违规停车行为，影响了正常交通秩序。
148,5004,二轮车辆闯入_20230720083940_突发事件_6967475.mp4,二轮车辆闯入,多车事故,2023年7月20日08时39分38秒，在外环高速吴淞江桥南路段，一辆二轮摩托车从右侧车道驶入主路，行驶于多车道高速公路的中间车道，未在专用通道或允许区域通行，且无明显禁止标志区域，该车辆在车流中穿行，驾驶员佩戴头盔，车辆牌照可见，其行为属于闯入禁止通行区域的危险驾驶行为，对周围正常行驶的车辆造成潜在安全隐患，导致部分车辆紧急避让，影响了道路通行秩序。
153,5009,异常停车_20240622034145_突发事件_35717773.mp4,异常停车,多车事故,2024年6月22日03时41分至03时42分，在S20内至S20A15 03十三公里处的高架道路上，发生了一起多车事故。事故发生在道路左侧车道，涉事车辆包括一辆白色货车和一辆黑色轿车。白色货车在行驶过程中与前方一辆黑色轿车发生追尾碰撞，导致两车位置异常，部分车辆横跨车道并存在明显碰撞痕迹，导致后方车辆被迫减速或绕行。事故现场可见车辆灯光闪烁，驾驶员下车查看情况，事故影响了该路段的正常通行秩序。
158,5014,抛洒物_20240528130659_运行安全_35646209.mp4,抛洒物,占道施工,2024年5月28日13时10分至13时11分，在曹安公路东向西方向的一段多车道高速公路上，出现一块绿色布状物抛洒在右侧车道靠近护栏处，该物体疑似为施工用篷布或覆盖物，可能为抛洒物。期间，无其他车辆经过该区域直接撞击该物体，但后续多辆车辆（包括轿车、货车、客车）经过时均未减速避让，仍以较快速度通过，表明该物体对交通影响较小。该物体在未被清理的情况下，持续存在于车道中，未见明显归家或处理行为，且无施工迹象，初步判断为施工后遗弃物。
164,5020,异常停车_20240606202640_突发事件_35681177.mp4,异常停车,多车事故,2024年6月6日20时26分37秒至20时27分36秒，外环高速吴淞江桥南路段发生一起多车事故。事故发生在夜间，监控画面显示该路段车流量较大，车辆行驶缓慢。在右侧车道靠近绿化带处，一辆白色轿车与前方货车发生追尾。随后，一辆白色货车紧急刹车并停靠在中间车道，疑似驾驶员下车查看情况。周围车辆因避让而出现急刹和变道现象，导致交通流受阻，形成短暂拥堵。涉事车辆包括白色轿车、白色货车及多辆其他小型车辆。事故造成该车道通行受阻，后方车辆排队缓慢，影响范围约两公里。现场无人员下车交涉或交警到场，但车辆位置异常且存在明显碰撞痕迹，符合多车事故特征。
168,5025,抛洒物_20240519134159_运行安全_35607164.mp4,抛洒物,异常停车,2024年5月19日13时41分54秒，在城市高架桥路段，一辆白色轿车在最左侧车道内完全静止，车辆未开启双闪灯，驾驶员不在车内，且该车位于行车道内，非停车区域。此行为符合异常停车特征，存在安全隐患，影响正常交通秩序。
