index,id,video,gt_label,pred_label,pred_text
5,4858,异常停车_20240623150949_突发事件_35720119.mp4,异常停车,拥堵,2024年06月23日15:13:00至15:13:59，在外环高速联谊路西枪机1处，发生了一起多车事故。涉事车辆包括一辆黑色轿车和一辆白色SUV，它们在雨天湿滑的路面上行驶过程中发生了碰撞，导致车辆位置异常，部分车辆横跨车道或斜停在道路上。事故现场有人员下车查看情况，交通一度受阻，其他车辆被迫减速或绕行，交通流量明显受到影响，形成了短暂的拥堵现象。此次事故的异常特征在于车辆的碰撞痕迹和位置异常，对道路通行造成了显著影响。
10,4863,占道施工_20240421095734_运行安全_35504665.mp4,占道施工,抛洒物,2024年4月21日10:09:28至10:09:56期间，外环高速蕴川立交东路段出现抛洒物交通事件。在视频画面中，右侧车道上有多个红色锥桶散落在行车道上，属于典型的抛洒物范畴。这些锥桶导致后续车辆在经过时不得不紧急避让或减速绕行，对道路通行安全造成了一定影响，且无明显施工或事故迹象表明其来源。同时，该路段车流量较大，抛洒物虽小但位置明显，引发后方车辆部分绕行或减速行为，存在潜在追尾风险。现场无人员下车处理，也未见警示标志设置，进一步加剧了交通安全隐患。
12,4865,异常停车_20240607073159_突发事件_35682192.mp4,异常停车,拥堵,2024年6月7日07:36:00至07:36:29期间，在外环高速沪太立交东2枪机2处，一辆红色货车在行车道上异常停车，车辆完全静止且开启双闪灯，驾驶员不在车内，导致后方多辆车辆被迫减速避让，交通流出现短暂拥堵，该行为违反了非停车区域禁止停车的规定，存在安全隐患。
13,4866,异常停车_20230720162354_突发事件_33390958.mp4,异常停车,二轮车辆闯入,2023年7月20日16时21分05秒，在外环高速丰翔路南段，一辆二轮车驶入主路，进入高速公路行车道内行驶，该车辆未在专用通道或合法区域通行，且无明显标识显示其具备处理能力。该行为属于典型的二轮车辆闯入高速公路的异常事件，严重违反交通规则，对周围正常行驶的车辆构成潜在安全隐患，导致部分车辆紧急避让，影响了道路通行秩序和安全。
14,4867,异常停车_20240606112804_突发事件_35678999.mp4,异常停车,抛洒物,2024年6月6日11时29分57秒至11时30分54秒，外环高速漕宝入口匝道（内）路段出现抛洒物交通事件。在视频画面右侧车道标志线附近，可见一个黑色物体静止于路面，疑似为车辆遗落的货物或杂物。该异物未完全占据行车道但已对通行构成潜在威胁。期间无车辆经过该抛洒物。涉事车辆未在画面中明确显示，但根据现场情况判断，该抛洒物可能来自过往货运车辆运输过程中脱落的物品，存在安全隐患，需及时清理以保障道路安全畅通。
16,4869,二轮车辆闯入_20230715120335_突发事件_1149569.mp4,二轮车辆闯入,多车事故,多车事故
17,4870,异常停车_20240614105451_突发事件_35704233.mp4,异常停车,多车事故,多车事故
18,4871,多车事故_20240622131800_突发事件_35718810.mp4,多车事故,异常停车,2024年6月22日13时17分23秒至13时17分38秒，位于武宁路地道南线西向东方向，一辆黑色轿车在隧道右侧车道内长时间静止不动，车辆未开启双闪灯，且无驾驶员在车内活动迹象，后方多辆车辆被迫减速绕行，造成短时交通干扰，该行为符合异常停车特征，存在安全隐患。
21,4874,占道施工_20240323090249_运行安全_35433956.mp4,占道施工,异常停车,2024年03月23日星期六09:02:45至09:03:03期间，外环高速淞滨路西段出现异常停车事件。在监控画面中，右侧车道靠近中央隔离带处有一辆白色轿车停靠在行车道上，车辆开启双闪灯，且无明显故障迹象，驾驶员下车查看。该车停靠位置导致后方多辆货车和轿车被迫减速绕行，造成局部交通流紊乱，影响了右侧车道的正常通行秩序。该行为符合异常停车特征，存在安全隐患，可能引发追尾或侧滑事故。
28,4881,占道施工_20240523232826_运行安全_35628713.mp4,占道施工,拥堵,2024年05月23日23:28:22至23:28:52，在某高速公路路段，发生了一起占道施工交通事件。现场可见多辆工程车辆和施工人员在车道内进行作业，施工人员穿着反光背心，操作相关设备，车道被多个锥桶遮挡，导致车道数量减少，车辆需变道或减速通行。涉事车辆包括一辆黄色工程车和其他几辆小型货车，它们在施工区域附近停放或缓慢移动。此次占道施工影响了道路的正常通行，车辆被迫减速或变更车道，但未造成严重的交通拥堵。异常特征包括施工区域设有警示牌和闪烁警示灯，确保过往车辆的安全通行。
30,4883,拥堵_20231026084656_突发事件_35000276.mp4,拥堵,抛洒物,2023年10月25日08时46分至08时47分，外环高速曹安路路段出现交通拥堵事件。该路段为双向多车道高速公路，车流密集，主要由轿车、货车及大型客车组成，车辆在多个车道内缓慢行驶或处于停滞状态，部分车辆间距极小，整体车速明显低于正常通行水平。涉事车辆包括白色轿车、黑色SUV、黄色面包车、红色集装箱货车、蓝色大巴车以及多辆小型客车，均在各自车道内有序行驶，未见明显碰撞或事故迹象。拥堵区域位于道路中间段，影响范围较长，导致后方车辆排队长度持续增加，通行效率显著下降。异常特征表现为车辆行驶速度普遍降低，车流密度较高，且无明显施工或障碍物阻碍，推测可能由前方突发状况或流量高峰引发，但未观察到异常停车、占道施工、二轮闯入、抛洒物或交通事故等其他异常情况。
31,4884,抛洒物_20240402065256_运行安全_35459975.mp4,抛洒物,异常停车,2024年04月02日06:52:54至06:53:53，在沪宁转外环外圈路段，一辆黑色轿车在行车道上异常停车，车辆完全静止且未开启双闪灯，驾驶员不在车内，导致后方多辆车辆被迫减速避让，存在明显的交通安全隐患。
49,4902,异常停车_20230718221620_突发事件_1963284.mp4,异常停车,多车事故,2023年7月18日22时16分至22时17分，夜间高速公路路段发生一起多车事故。事故发生在道路左侧车道，涉事车辆包括一辆白色轿车和一辆黑色轿车，两车疑似发生碰撞，黑色轿车停靠在应急车道，驾驶员下车查看情况，车辆位置异常，横跨部分车道，导致后方车辆被迫减速绕行。现场无明显散落物或人员伤亡，但事故造成该车道通行受阻，后方车辆排队缓行，交通流明显受阻。事故车辆周围无施工设施或人员，未见二轮车辆闯入或施工迹象，初步判断为突发性多车追尾事故。
58,4911,二轮车辆闯入_20230722141048_突发事件_33394623.mp4,二轮车辆闯入,异常停车,2023年7月22日14时10分至14时11分，外环高速京沪立交（内）路段出现异常停车事件。一辆白色轿车在右侧应急车道内完全静止，未开启双闪灯，且驾驶员未下车处理，车辆长时间停靠在行车道上，导致后方多辆车辆被迫减速绕行，影响了该车道的正常通行秩序。该行为符合异常停车判断标准中的多项特征：车辆在非停车区域静止、未开启警示灯、未采取其他应急措施，构成交通异常事件。
59,4912,占道施工_20230816005058_运行安全_34587905.mp4,占道施工,拥堵,2023年8月16日00:50至00:51期间，外环高速老沪闵路东（内）路段出现交通拥堵事件。该路段为夜间照明条件下多车道高架道路，车流密集，车辆行驶缓慢，部分车辆处于低速移动或短暂停滞状态。涉事车辆包括多辆轿车、货车及厢式运输车，其中红色货车和白色厢式货车较为显眼，均在正常车道内行驶但速度明显低于正常通行水平。车辆间距较小，后方车辆频繁刹车，形成连续的亮尾轨迹，表明车辆处于缓行或短暂停滞状态。拥堵区域位于高架桥中间车道，影响范围较长，持续时间约一分钟且无缓解趋势，符合拥堵判断标准中的多辆车缓慢移动、排队长度超常、发生在瓶颈区域等特征。现场未见异常停车、施工设施、事故痕迹或抛洒物，也无二轮车辆闯入迹象，初步判断为高峰时段车流量过大导致的常态化拥堵。
64,4917,占道施工_20240525002701_运行安全_35633383.mp4,占道施工,拥堵,2024年5月25日00:26:55至00:27:59，在嘉闵西侧真南路出口处发生了一起占道施工交通事件。现场可见多辆工程车辆和施工人员，他们穿着反光背心，正在进行施工作业。施工区域被锥桶和围栏遮挡，导致车道数量减少，过往车辆需变道或减速行驶。施工人员在车道内操作设备，而施工车辆则停在路边，开启警示灯。此事件影响了道路的正常通行，车辆被迫减速或变更车道，但未造成严重的交通拥堵。异常特征包括施工设施占据部分车道、施工人员现场作业以及车辆因施工而减速或绕行。
69,4922,异常停车_20230716095332_突发事件_1153383.mp4,异常停车,二轮车辆闯入,2023年7月16日星期日上午9时53分至9时54分，外环高速丰翔路-1路段出现交通拥堵事件。该路段为双向多车道高速公路，路面湿滑，天气阴雨，能见度较低。视频显示，从9:53:29开始，道路右侧车道车辆行驶缓慢，车流密集，多辆货车与轿车依次排队缓行，包括白色厢式货车、红色集装箱货车、白色厢式货车及黑色轿车等，车辆间距明显缩小，车速降低，部分车辆处于低速蠕行状态。拥堵持续约1分钟，未见明显事故或障碍物，但车辆整体移动速度显著下降，后方车辆被迫减速避让，形成典型的早高峰拥堵特征。左侧对向车道车流相对顺畅，未受影响。此拥堵可能由前方交通瓶颈或突发状况引发，但视频中未发现异常停车、施工、抛洒物或二轮车辆闯入等直接诱因，主要表现为长时间、大范围的车辆缓行。
83,4936,占道施工_20231207002615_运行安全_35196934.mp4,占道施工,拥堵,2023年12月7日00:26至00:27期间，G60市区方向至S20内2枪机12路段发生占道施工交通事件。现场可见一辆工程车辆停靠在道路右侧，车顶警示灯闪烁，周围设置多排红白相间的交通锥桶，形成临时隔离带，占用部分车道。两名身穿反光背心的施工人员在锥桶旁进行作业，其中一人手持工具在移动，另一人站立观察。施工区域前方有大型货车和轿车正常行驶，但因施工导致车道变窄，车辆需减速并变道通行。该施工行为符合占道施工标准，包括使用锥桶、警示灯、施工人员穿戴反光装备以及车道被部分封闭等特征，对交通流造成一定影响，但未引发拥堵或事故。
93,4946,占道施工_20240523000157_运行安全_35623957.mp4,占道施工,拥堵,2024年5月23日00:01:28至00:02:27，在S26沪常高速收费广场东侧（K11+608）处，发生了一起占道施工交通事件。现场可见多辆工程车辆和施工人员在进行作业，施工人员穿着反光背心，操作设备，车道被锥桶遮挡，导致车道数量减少，车辆需变道或减速通行。施工区域设有警示牌和闪烁警示灯，以提醒过往车辆注意避让。此次施工行为对道路交通造成了一定影响，但未引发严重拥堵或事故。异常特征包括施工设施占据部分车道、施工人员现场作业以及明显的警示标志。
94,4947,占道施工_20230909002352_运行安全_34746468.mp4,占道施工,拥堵,2023年9月9日星期六00:23:50至00:24:48期间，K14+050路段夜间出现严重交通拥堵事件。该路段为城市高架道路，双向多车道，右侧车道被大量车辆封闭，形成连续的排队缓行状态。涉事车辆包括大量轿车、货车、客车及大型运输车，其中有多辆大型集装箱货车、厢式货车和私家车密集排列，车流速度明显低于正常水平，车辆间间距极小，尾灯连成一片红色光带，表明车辆处于低速或停滞状态。左侧对向车道车流相对顺畅，但因右侧拥堵导致整体通行效率下降。现场未见明显事故、施工或抛洒物迹象，也无异常停车或二轮车辆闯入情况，推测拥堵可能由前方交通瓶颈或高峰时段车流量过大引发。该事件持续约一分钟，期间车辆持续缓慢移动，未见明显缓解趋势，对夜间出行造成较大影响。
100,4953,二轮车辆闯入_20230719084238_突发事件_1965769.mp4,二轮车辆闯入,拥堵,2023年7月19日08时42分，S20LSTV03监控点位显示，某城市快速路双向车道出现持续性交通拥堵，车辆行驶缓慢，车流密集且无明显移动规律，部分车辆在多个车道内排队缓行，部分大型货车和集装箱运输车在车道中占据主要通行空间，导致后方车辆被迫减速或变道，整体通行效率显著下降，符合拥堵判断标准中的多辆车缓慢移动、排队长度超常且无缓解趋势等特征。
102,4955,抛洒物_20240530074153_运行安全_35652730.mp4,抛洒物,拥堵,2024年5月30日07:41至07:42期间，外环高速丰翔路南段出现交通拥堵事件。该路段为多车道高速公路，两侧绿树成荫，道路标线清晰，限速标志显示为80km/h。视频显示，从07:41:45左右开始，车辆行驶速度明显减缓，车流密集且持续缓行，车辆间距缩短，部分车辆处于低速蠕行状态，未见完全停止。涉事车辆包括多辆轿车、货车及厢式货车，其中可见白色厢式货车、红色集装箱货车、黄色工程车等，均在正常车道内行驶，未发生碰撞或事故。由于车流量大且通行效率降低，导致后方车辆排队长度逐渐增加，形成持续性拥堵。此拥堵现象未见缓解趋势，影响了该路段的正常通行秩序，存在潜在追尾风险。异常特征表现为车辆密集、行驶速度极低、无明显事故迹象，符合典型早高峰时段因车流集中引发的拥堵特征。
103,4956,多车事故_20240530085706_突发事件_35653363.mp4,多车事故,拥堵,2024年5月30日08:56至08:57，在外环高速顾戴路北（内）路段，发生了一起多车事故。涉事车辆包括一辆白色面包车和一辆黑色轿车，这些车辆在行驶过程中发生了碰撞，导致车辆位置异常，其中白色面包车斜停在车道上，黑色轿车在其前方。事故现场有人员下车交涉，其他车辆被迫紧急避让或停滞，造成了交通拥堵。此次事故的异常特征在于多辆车同时受困，且事故区域内的车辆行为明显异常，如频繁变道和减速，进一步加剧了交通压力。
106,4959,二轮车辆闯入_20230721142306_突发事件_33393718.mp4,二轮车辆闯入,拥堵,2023年7月21日14时23分，外环高速潭宝路北段出现严重交通拥堵，多辆轿车、货车及大型运输车辆在多个车道内缓慢行驶或完全停滞，车流密集且持续时间较长，车辆间距极小，部分车辆处于停滞状态，后方车辆被迫减速或绕行，整体通行效率显著下降，符合拥堵判断标准中关于多辆车缓慢移动或停止、排队长度超过正常范围、发生在高速公路瓶颈区域等特征。
110,4963,异常停车_20240606120515_突发事件_35679057.mp4,异常停车,抛洒物,2024年6月6日14时05分至14时06分，外环高速吴中路路段发生抛洒物事件。视频显示，多块白色板状物散落在行车道上，部分异物随车辆移动持续掉落。涉事车辆不明，但抛洒物均来自货车货箱，尺寸较大，对正常通行构成安全隐患，导致车辆紧急避让或减速绕行，影响了道路的正常通行秩序。异常特征表现为：抛洒物在车道上持续可见，且无明显施工或事故迹象，初步判断为货车运输途中货物固定不牢导致的抛洒物问题。
113,4966,占道施工_20231116003349_运行安全_35106756.mp4,占道施工,异常停车,2023年11月16日00:33:45至00:34:44期间，嘉闵西桃浦公路南路段夜间监控画面显示，一辆白色轿车在右侧车道内长时间静止不动，车辆开启双闪灯，且无明显故障迹象或驾驶员下车行为。该车停靠位置位于道路右侧护栏旁，紧邻施工区域，周围有施工标志及警示灯闪烁，表明该区域正在进行占道施工。由于该车停放位置处于非停车区域，且无交通信号允许停车，导致后方车辆被迫减速绕行，影响了通行效率。整个过程中，其他车辆均保持正常行驶状态，未发生碰撞或拥堵，但该车异常停车行为构成交通安全隐患。
114,4967,异常停车_20240614153120_突发事件_35704875.mp4,异常停车,多车事故,2024年6月14日15时31分至15时32分，在外环高速吴淞江桥南路段，发生了一起多车事故。涉事车辆包括一辆白色SUV和一辆黑色SUV，其中白色SUV停在右侧车道上，黑色SUV停在左侧车道上，两车均有碰撞痕迹，停于最左侧车道。事故没有发生一起进一步的事态发展，但可以看到交通流速明显减缓，其它车辆需绕行或减速避让，形成了短暂的拥堵现象。异常特征表现为车辆位置异常，且无明显施工或抛洒物等其他干扰因素，因此判断为典型的多车事故，对交通造成了一定影响。
