index,id,video,gt_label,pred_label,pred_text
0,4853,占道施工_20230820045634_运行安全_34614824.mp4,拥堵,多车事故,2023年8月20日04:56:15，在外环高速联谊路东向西方向，监控画面显示最右侧车道上有一排橙白相间的交通锥桶，呈线性排列，位于道路右侧护栏旁，该区域为施工区域。随后一辆白色厢式货车、一辆白色面包车及多辆小型轿车和货车在该区域正常行驶。2023年8月20日04:56:16，外环高速联谊路出口下3km处的交通标志显示，该出口限速80km/h，限速60km/h。2023年8月20日04:56:17，一辆白色厢式货车从右侧车道驶过，未见明显异常。2023年8月20日04:56:18，一辆红色货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:19，一辆黄色工程车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:20，一辆红色货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:21，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:22，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:23，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:24，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:25，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:26，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:27，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:28，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:29，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:30，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:31，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:32，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:33，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:34，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:35，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:36，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:37，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:38，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:39，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:40，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:41，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:42，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离，未见异常。2023年8月20日04:56:43，一辆白色厢式货车从右侧车道驶入施工区域，随后驶离
1,4854,拥堵_20240321123303_突发事件_35430436.mp4,拥堵,多车事故,2023年9月21日12时26分至12时27分，外环高速沪太立交东段出现多车事故交通事件。现场可见白色轿车、蓝色货车、红色平板货车等多辆机动车在行车道正常行驶中，一辆红色平板货车与前方蓝色集装箱货车停靠于右侧车道，导致后方车辆紧急刹车并形成局部拥堵。右侧车道货车未开启双闪灯，车身有明显碰撞痕迹，疑似发生追尾事故。左侧车道车辆因避让而变道，造成通行受阻，部分车辆在缓慢通行中形成排队现象。视频中未见明显碰撞痕迹或人员下车交涉，但车辆位置异常且无警示措施，符合多车事故特征。
2,4855,异常停车_20240624112654_突发事件_35721711.mp4,异常停车,多车事故,2024年6月24日11时26分52秒至11时27分51秒，外环高速沪渝立交段出现多车事故交通事件。画面显示，从11:26:50至11:27:50，一辆黑色轿车与白色轿车在行车道上发生碰撞，车辆出现明显碰撞痕迹，黑色轿车停于事故车辆旁，白色轿车斜停于右侧车道。随后，一辆红色货车及多辆其他车辆在主车道上紧急刹车并有序绕行，导致后方车辆形成严重排队现象，交通流明显受阻，存在追尾及侧翻情况。事故区域无施工设施，未见人员下车交涉或交警到场处理，但车辆持续缓慢移动，影响了该路段持续通行。异常特征表现为多车连续碰撞、车辆位置异常、后方车辆紧急避让及持续缓行。
5,4858,异常停车_20240623150949_突发事件_35720119.mp4,异常停车,多车事故,2024年06月23日15:13:00至15:13:59，在外环高速联谊路西枪机1处，发生了一起多车事故。涉事车辆包括一辆红色货车、一辆白色轿车，其中红色货车与前方白色轿车疑似发生碰撞，导致车辆位置异常，出现横跨车道及道的现象。事故导致后方车辆出现缓行和变道避让行为，交通流受到明显影响，形成了短暂的拥堵情况。异常特征表现为车辆明显的碰撞痕迹、位置异常以及后方车辆的紧急避让行为。
7,4860,异常停车_20240511021033_突发事件_35579528.mp4,异常停车,多车事故,2024年5月11日02时10分至02时11分，外环高速莘朱路路段，一辆红色货车在右侧应急车道内完全静止，车辆开启双闪灯，车辆位置异常且无明显故障迹象，疑似发生故障。该车导致后方少数车辆被迫减速避让。现场无其他车辆发生碰撞或停车行为，但该车异常停放行为已构成交通安全隐患。
8,4861,拥堵_20240305081000_突发事件_35388729.mp4,拥堵,多车事故,2024年03月05日08时12分至08时13分，外环高速铁力路西段出现多车事故交通事件。视频显示，该路段为雨天湿滑路面，多辆小轿车、货车及一辆黑色大巴车在行车道和最右侧车道内行驶，车流密集且车速较快，车辆间距离过近，部分车辆出现明显追尾或碰撞痕迹，导致车辆位置异常，部分车辆横跨车道或斜停，引发后方车辆紧急避让、减速及绕行。涉事车辆包括白色轿车、黑色轿车、白色面包车等，均处于正常或异常停车状态，未见明显碰撞痕迹或人员下车交涉。事故区域无施工设施、抛洒物或二轮车辆闯入迹象，也无异常停车或二轮车辆闯入行为，但车辆密集排列、通行受阻且存在明显的碰撞痕迹，符合多车事故特征。事故影响范围较大，导致该路段通行效率下降，存在安全隐患。
10,4863,占道施工_20240421095734_运行安全_35504665.mp4,占道施工,多车事故,2024年04月21日10:09:35至10:09:44，外环高速蕴川立交东2枪机2监控画面显示，一辆白色轿车与一辆灰色轿车在行车道上发生碰撞，黑色轿车横向停靠在应急车道内，导致后方车辆紧急刹车并绕行避让，形成短时拥堵。随后，另一辆黑色轿车从右侧车道驶来超越事故车辆，与白色轿车发生碰撞，两车均处于低速行驶状态，且发生追尾。事故现场可见多辆小轿车停放在车道内，部分车辆出现明显横穿车道现象，且无明显施工或抛洒物迹象，初步判断为多车追尾事故。事故区域位于沪太立交附近，对交通造成持续影响，车辆排队长度超过正常范围，且持续缓慢移动。
11,4864,占道施工_20240222105430_运行安全_35369125.mp4,占道施工,多车事故,2024年02月22日星期四10:57:33至10:57:44，在外环高速申川立交西枪机2处，多车事故发生。视频显示，该路段有多辆车出现明显的碰撞痕迹，车辆位置异常，部分车辆横跨车道或斜停，严重影响了交通秩序。涉事车辆包括多辆轿车和货车，它们的位置异常是由于前车急刹或碰撞事故导致。事故现场有人员下车查看情况，其他车辆被迫紧急避让或停滞，造成了交通拥堵和持续的通行缓慢。异常特征表现为车辆碰撞痕迹、位置异常以及后方车辆的紧急避让行为。
14,4867,异常停车_20240606112804_突发事件_35678999.mp4,异常停车,多车事故,2024年6月6日11时29分58秒至11时30分56秒，外环高速漕宝入口匝道（内）路段发生一起多车事故。事故发生在道路右侧车道，涉事车辆包括一辆红色集装箱货车、一辆红色集装箱货车，二轮车辆（摩托车）参与碰撞。视频显示，红色集装箱货车与二轮车辆发生碰撞后停在行车道上，横跨车道，导致后方车辆被迫减速或绕行。受影响车辆包括多辆轿车和货车，其中一辆红色货车停在右侧车道，而另一辆红色货车则侧倒。事故现场有多辆车出现紧急避让和停滞行为，其他车辆被迫变道避让，造成该路段交通流短暂受阻。事故未见明显人员下车交涉或交警到场处理，但可见后方车辆行驶谨慎，存在排队现象。异常特征表现为二轮车辆闯入、车辆位置异常、后方车辆紧急避让，符合多车事故判断标准。
15,4868,多车事故_20240530152809_突发事件_35654829.mp4,多车事故,异常停车,2024年5月30日15时28分14秒至15时29分12秒，外环高速莘朱路路段，一辆白色轿车与银色轿车在最右侧车道发生碰撞，导致两车出现异常停车现象，车辆位置异常，横跨车道并倚靠于 vectors，导致后方车辆需减速避让，造成后方车辆紧急变道和减速的短暂拥堵。该事件中，白色轿车和银色轿车均开启双闪灯，驾驶员下车查看情况，后方车辆因避让而出现明显减速和排队现象，影响了该路段的正常通行秩序。异常特征为车辆明显横跨车道、引发后续交通干扰，符合异常停车的判断标准。
