video_id,gt,pred_lcrm_lite_fused
,2024年3月21日12时36分，外环高速富长路西段出现交通拥堵事件，现场多车道车辆行驶缓慢，车流密集且持续无明显缓解趋势。涉事车辆包括各类货车、轿车及厢式运输车，部分车辆因前方缓行而被迫减速或短暂停滞，导致整体通行效率下降。道路右侧绿化带旁有施工人员活动迹象，但未见明显施工设施遮挡车道。该路段为高速公路瓶颈区域，车辆排队长度较长，影响正常通行秩序，具备典型拥堵特征。,2024年3月21日12时36分至12时37分，外环高速沪太立交西2枪机2监控区域出现交通拥堵事件。该路段为多车道高速公路，双向车流密集，车辆以货车和轿车为主，其中包含大量集装箱货车、厢式货车及私家车。视频显示，从12:36:50开始，右侧
,2024年6月23日15时13分，外环高速联谊路西段，雨天路面湿滑，监控画面显示双向车道车辆正常行驶，一辆蓝色轿车在最左侧车道停靠，车辆开启双闪灯，驾驶员下车活动，导致后车绕行，符合异常停车行为。,2024年06月23日15:13:00至15:13:59，在外环高速联谊路西枪机1处，发生了一起多车事故。涉事车辆包括一辆黑色轿车和一辆白色SUV，它们在雨天湿滑的路面上行驶过程中发生了碰撞，导致车辆位置异常，部分车辆横跨车道或斜停在道路上
,2024年03月05日星期二08时12分至08时13分，外环高速铁力路西段出现严重交通拥堵事件，现场天气阴雨，路面湿滑，能见度较低。多车道内车辆密集，包括轿车、SUV、货车及大型运输车等各类机动车均处于缓慢行驶或停滞状态，车流排成长队，持续时间超过一分钟且无缓解趋势，部分车辆刹车灯亮起，显示驾驶员正在减速或停车等待。车辆主要为正常行驶的私家车和货运车辆，未见明显事故或异常停车行为，但因车距极短、通行速度极慢，形成典型的拥堵现象，影响了该路段的通行效率，属于典型的城市快速路高峰时段或恶劣天气下的交通拥堵事件。,2024年3月5日星期二上午8时12分至8时13分，外环高速铁力路西段出现严重交通拥堵事件。该路段为多车道高速公路，天气阴雨，路面湿滑，能见度较低。视频显示，大量机动车包括轿车、货车、客车及大型运输车辆在多个车道内缓慢行驶或完全停滞，车流密
,2024年5月30日15:28至15:29，在外环高速莘朱路路段，发生了一起多车事故。涉事车辆包括一辆黑色轿车和一辆褐色SUV，两车在最右侧车道上发生了碰撞，导致车辆位置异常，横跨车道并斜停在路面上。事故发生后，有人员下车交涉，其中一人站在护栏旁，另一人则在车前检查情况。此次事故交通流量影响较小，未形成拥堵现象。异常特征表现为车辆明显的碰撞痕迹和不正常的停车姿态，对正常行驶的车辆造成了干扰。,多车事故
,2024年6月14日10时59分12秒至10时59分43秒，外环高速沪太立交东2枪机2监控画面显示，双向多车道高速公路车流正常行驶，在右侧车道中，一辆蓝色集装箱货车停靠在应急车道内，车身完全静止，开启双闪灯，且无驾驶员在车内活动迹象。该车辆长期占用应急车道，违反交通规则，影响道路通行效率，构成异常停车事件。现场无施工设施、抛洒物或其他事故迹象，也未见二轮车辆闯入或多车碰撞情况。,多车事故
,2023年7月17日16时12分04秒，在外环高速天山路路段，一辆二轮摩托车从右侧车道驶入主路，进入正常行驶的机动车道中，驾驶员佩戴头盔，车辆无明显牌照标识，且在车流密集区域穿行，虽不存在逆行和横穿车道等危险行为，但其进入机动车道的行为违反了高速公路交通管理规定，对正常行驶的车辆构成潜在安全隐患。该行为违反了高速公路禁止二轮车辆通行的规定，属于典型的二轮车辆闯入事件。,2023年7月17日16时12分04秒，在外环高速天山路路段，一辆二轮摩托车从右侧车道驶入主路，行驶于多车道高速公路的中间车道，未见其在专用通道或合法入口进入，且无明显警示标志或防护装备。该摩托车在车流中穿行，周围有多辆轿车和货车正常行驶，
,2023年10月26日08:46至08:48期间，外环高速曹安路路段出现明显交通拥堵事件。该路段为多车道高速公路，双向车流密集，其中南向北方向车流尤为拥堵，车辆行驶缓慢，部分车辆处于停滞状态，排队长度持续延伸。涉事车辆包括多辆轿车、货车、厢式货车及一辆黄色大巴车，均在正常行驶过程中因前方拥堵而减速或停止。现场未见异常停车、施工设施或事故迹象，但车流密度显著增加，导致通行效率下降，车辆间间距缩小，存在潜在追尾风险。该拥堵主要发生在主干道上，影响范围覆盖多个车道，且持续时间较长，符合典型早高峰时段的拥堵特征，无其他明显异常行为或障碍物。,2023年10月25日08时46分至08时47分，外环高速曹安路路段出现交通拥堵事件。该路段为双向多车道高速公路，车流密集，主要由轿车、货车及大型客车组成，车辆在多个车道内缓慢行驶或处于停滞状态，部分车辆间距极小，整体车速明显低于正常通行水
,2024年1月12日10时22分至10时23分，在外环高速武威路南（内）路段，发生了一起拥堵交通事件。视频显示，该时间段内多辆车在高速公路上缓慢移动或完全停止，涉及多种类型车辆，包括轿车、货车和客车等。这些车辆密集排列，排队长度超过正常范围，且持续一段时间内未见明显缓解趋势。拥堵主要发生在道路的多个车道上，尤其是在匝道附近，导致整体交通流速显著降低。异常特征表现为车辆行驶速度极低，部分车辆甚至停滞不前，严重影响了该路段的通行效率和交通安全。,2023年12月23日12时01分至12时02分，外环高速武威路南（内）路段出现严重交通拥堵事件。该路段为多车道高速公路，双向车流密集，车辆包括轿车、货车、客车及大型运输车辆等。视频显示，从12:01:45开始，右侧车道车辆行驶缓慢，部分车
,2024年3月5日7时28分至7时29分，S20外环高速至G60沪昆高速出省方向路段出现严重交通拥堵事件。该路段为双向高架道路，天气阴雨且有雾，路面湿滑，能见度较低。视频显示，左侧车道车辆排成长队，车流缓慢移动，多辆小轿车、货车及大巴车密集行驶，刹车灯持续亮起，表明车速极低或处于停滞状态。右侧应急车道基本畅通，但未见明显施工或事故迹象。车辆包括红色厢式货车、蓝色货车、白色货车以及黄色大巴车等，均在缓慢前行中。由于车流量大且天气恶劣，导致通行效率下降，形成持续性拥堵。整个过程中未发现异常停车、占道施工、二轮闯入、抛洒物或多车事故等现象，主要异常特征为因天气与车流叠加引发的典型早高峰拥堵。,2024年3月5日早上7时28分至7时29分，S20外至G60出省方向3枪机2监控路段出现交通拥堵事件。该路段为城市高架道路，多车道，路面湿滑，天气阴雨，能见度较低。视频显示，大量机动车包括轿车、货车、客车及公交车在多个车道内缓慢行驶或完全
,2024年1月6日9时7分至9时8分，在S20内至G60出省方向的高速公路上，发生了一起拥堵交通事件。视频显示，该路段车辆密集，多辆车缓慢移动或完全停止，排队车辆长度超过正常范围，且持续一段时间无缓解趋势，明显发生在匝道这一瓶颈区域。涉事车辆包括多辆轿车和货车，它们在车道上缓慢前行或停滞不前，导致后方车辆被迫减速或停车等待，严重影响了道路通行效率。异常特征表现为车辆行驶速度显著降低，车流密度增大，整体交通流畅性受到明显阻碍。,2024年1月8日05:07至05:08期间，在S20内至G60出省方向的高速公路上，发生了一起多车事故。涉事车辆包括一辆白色轿车和一辆黑色SUV，两车在行驶过程中发生碰撞，导致车辆位置异常，白色轿车斜停在车道上，黑色轿车则紧随其后停下。事
