video,base_label,dx_union,dy_union,compactness,score
异常停车_20240623150949_突发事件_35720119.mp4,多车事故,,,,
异常停车_20230718221620_突发事件_1963284.mp4,多车事故,,,,
异常停车_20240613144354_突发事件_35701670.mp4,拥堵,0.2312,0.4773,0.625,0.85
异常停车_20240512161637_突发事件_35583468.mp4,异常停车,0.0197,0.8564,0.3943,0.6062
异常停车_20240606202640_突发事件_35681177.mp4,多车事故,0.8164,0.4951,0.3248,0.4497
异常停车_20231228223224_突发事件_35273744.mp4,异常停车,0.3982,0.3727,0.6144,0.8457
异常停车_20240516101422_突发事件_35596379.mp4,异常停车,0.8491,0.2566,0.3728,0.5993
异常停车_20240622182042_突发事件_35719182.mp4,异常停车,0.8364,0.5313,0.2994,0.6322
异常停车_20240621201008_突发事件_35717757.mp4,多车事故,0.6818,0.2845,0.4776,0.7035
多车事故_20240405093600_突发事件_35467883.mp4,多车事故,,,,
异常停车_20240510100530_突发事件_35577578.mp4,多车事故,0.4736,0.9307,0.2616,0.5637
异常停车_20240508231531_突发事件_35571620.mp4,多车事故,,,,
异常停车_20240614125537_突发事件_35704472.mp4,异常停车,0.3535,0.4723,0.5828,0.5965
异常停车_20240526031445_突发事件_35637200.mp4,异常停车,0.4846,0.1929,0.6312,0.682
拥堵_20230815081533_突发事件_34581860.mp4,拥堵,0.3169,0.1214,0.76,0.904
异常停车_20240624182757_突发事件_35722498.mp4,多车事故,0.8976,0.3672,0.3143,0.5806
异常停车_20240616161312_突发事件_35708172.mp4,多车事故,0.8752,0.9468,0.0883,0.4383
异常停车_20240511180600_突发事件_35582216.mp4,多车事故,0.7659,0.0593,0.4568,0.5479
异常停车_20240614152918_突发事件_35704870.mp4,异常停车,0.6935,0.1914,0.4913,0.7965
异常停车_20240616183802_突发事件_35708477.mp4,异常停车,0.6298,0.8688,0.2412,0.5572
异常停车_20240510232403_突发事件_35579518.mp4,多车事故,0.8355,0.474,0.3208,0.5126
异常停车_20240510092252_突发事件_35577416.mp4,异常停车,0.8329,0.5799,0.2823,0.5704
异常停车_20240625133927_突发事件_35724287.mp4,异常停车,0.5682,0.0802,0.5942,0.7502
异常停车_20240621133939_突发事件_35717069.mp4,异常停车,0.4595,0.5431,0.497,0.639
异常停车_20240601091620_突发事件_35661179.mp4,异常停车,0.7987,0.7268,0.2364,0.5557
异常停车_20230715145812_突发事件_1150174.mp4,异常停车,0.8631,0.4949,0.2965,0.5749
异常停车_20230722060322_突发事件_33394166.mp4,异常停车,0.1052,0.8033,0.4271,0.6167
异常停车_20240623072623_突发事件_35719435.mp4,异常停车,0.0331,0.786,0.4437,0.552
异常停车_20230715161413_突发事件_1150410.mp4,多车事故,0.7766,0.7294,0.2467,0.5589
异常停车_20240601170230_突发事件_35662600.mp4,多车事故,0.8845,0.1381,0.367,0.5274
异常停车_20230716162353_突发事件_1154677.mp4,异常停车,0.8423,0.874,0.1417,0.5692
异常停车_20230716094748_突发事件_1153365.mp4,多车事故,0.4675,0.2284,0.6321,0.6823
拥堵_20231123065055_突发事件_35141719.mp4,多车事故,0.7353,0.6597,0.3015,0.5044
异常停车_20240622091128_突发事件_35718368.mp4,异常停车,0.2449,0.3857,0.6769,0.6266
异常停车_20240622185328_突发事件_35719193.mp4,多车事故,0.3156,0.4523,0.61,0.6752
异常停车_20240623062923_突发事件_35719304.mp4,异常停车,0.2754,0.5794,0.5464,0.573
异常停车_20240605234557_突发事件_35677381.mp4,多车事故,,,,
异常停车_20240613141826_突发事件_35701533.mp4,多车事故,0.886,0.4112,0.3093,0.579
异常停车_20240624173027_突发事件_35722446.mp4,多车事故,0.6754,0.1956,0.5028,0.7136
异常停车_20230720152542_突发事件_33390529.mp4,多车事故,0.2528,0.5497,0.5722,0.5931
异常停车_20240516174603_突发事件_35597932.mp4,多车事故,0.6467,0.0034,0.5427,0.5837
异常停车_20240606094752_突发事件_35678830.mp4,异常停车,0.1075,0.584,0.5801,0.5824
异常停车_20240625162024_突发事件_35724814.mp4,异常停车,0.1351,0.9117,0.3483,0.5915
异常停车_20240508133827_突发事件_35570359.mp4,拥堵,0.2697,0.778,0.4178,0.6137
异常停车_20240517125829_突发事件_35600798.mp4,多车事故,0.5716,0.488,0.4685,0.6299
异常停车_20230722172046_突发事件_33394839.mp4,多车事故,0.924,0.3232,0.3078,0.6356
异常停车_20240524162108_突发事件_35632549.mp4,异常停车,0.5462,0.5505,0.4517,0.6245
异常停车_20240529075343_突发事件_35649032.mp4,多车事故,0.8037,0.4644,0.3436,0.52
异常停车_20240529175435_突发事件_35651400.mp4,异常停车,0.7541,0.6811,0.2814,0.6251
异常停车_20240617205704_突发事件_35710685.mp4,多车事故,0.3461,0.6113,0.5032,0.5609
异常停车_20240511101336_突发事件_35581084.mp4,多车事故,0.0315,0.835,0.4091,0.6109
异常停车_20240509221720_突发事件_35575664.mp4,异常停车,0.4777,0.3802,0.5683,0.5919
异常停车_20240621122051_突发事件_35716926.mp4,异常停车,0.8103,0.575,0.2975,0.5752
异常停车_20230719071109_突发事件_1966981.mp4,异常停车,0.8873,0.5661,0.2558,0.6148
异常停车_20240526150047_突发事件_35639238.mp4,异常停车,0.4585,0.5286,0.5052,0.6417
异常停车_20240510163351_突发事件_35578843.mp4,多车事故,0.9085,0.6058,0.2279,0.5529
异常停车_20230717150011_突发事件_1158110.mp4,异常停车,0.8835,0.3569,0.3262,0.643
