index,id,video,gt_label,pred_label,pred_text
1,4854,拥堵_20240321123303_突发事件_35430436.mp4,正常,拥堵,2024年3月21日12时36分至12时37分，外环高速沪嘉桥头路段出现严重交通拥堵，多辆货车和轿车在车道内缓慢行驶或完全停止，车辆排成长队，持续时间超过一分钟且无缓解趋势。涉事车辆包括红色、蓝色、白色等多种颜色的货车及多辆小轿车，其中部分大型货车装载货物如橙黄色南瓜状物品，以及装载集装箱的平板运输车。车辆在多个车道内缓慢移动，后方车辆被迫减速并保持较短车距，导致整体通行效率显著下降。该区域为高速公路弯道区域，无施工迹象，也未见异常停车或抛洒物，但因大型货车集中通行造成通行能力受限，形成典型拥堵事件，影响范围覆盖多个车道，对过往车辆造成较大通行压力。
2,4855,异常停车_20240624112654_突发事件_35721711.mp4,异常停车,正常,2024年6月24日11时26分50秒至11时27分48秒，外环高速沪渝立交段出现异常停车事件。一辆红色货车在右侧车道内长时间静止不动，车辆开启双闪灯，且无明显故障迹象或驾驶员在车旁活动，导致后方多辆车辆被迫减速绕行。该车停靠位置位于行车道内，属于非停车区域，且周围无交通信号灯或标志允许停车，存在违规停放行为。由于该车占据部分车道空间，影响了正常通行秩序，构成交通安全隐患。
5,4858,异常停车_20240623150949_突发事件_35720119.mp4,正常,拥堵,2024年06月23日15:13:12至15:13:40，在外环高速联谊路西枪机1处，发生了一起多车事故。涉事车辆包括一辆黑色轿车和一辆白色SUV，它们在雨天湿滑的路面上行驶过程中发生了碰撞，导致车辆位置异常，部分车辆横跨车道或斜停在道路上。事故现场有人员下车查看情况，交通一度受阻，其他车辆被迫减速或绕行，交通流量明显受到影响，形成了短暂的拥堵现象。此次事故的异常特征在于车辆的碰撞痕迹和位置异常，对道路通行造成了显著影响。
7,4860,异常停车_20240511021033_突发事件_35579528.mp4,正常,异常停车,2024年5月11日02时10分25秒至02时11分23秒，外环高速莘朱路路段，一辆白色厢式货车在右侧车道内完全静止，车辆开启双闪灯，驾驶员下车在车旁活动，车辆处于非停车区域且无交通信号灯或标志允许停车，后方多辆车辆被迫减速绕行，造成该车道通行受阻，存在明显异常停车特征。
9,4862,二轮车辆闯入_20230721120212_突发事件_33393572.mp4,异常停车,正常,2023年7月21日12时02分12秒至12时02分36秒，G2进外环外圈匝道03路段，一辆二轮摩托车从右侧车道驶入主路，行驶过程中未在专用通道或允许区域通行，且在车流中穿行，存在逆行和横穿车道的危险行为。该摩托车驾驶员佩戴头盔，车辆无明显牌照标识，其闯入行为导致周边车辆紧急避让，影响了正常交通秩序，构成典型的二轮车辆闯入异常事件。
11,4864,占道施工_20240222105430_运行安全_35369125.mp4,拥堵,正常,2024年2月22日星期四上午10:57至10:58，外环高速蕴川立交西枪机2监控区域，一辆红色货车在最右侧车道内长时间静止不动，车辆未开启双闪灯，驾驶员下车查看情况后上车，导致后方车辆被迫减速绕行，形成局部拥堵。该车停靠位置位于行车道内，非停车区域，且无任何交通标志允许临时停车，其行为符合异常停车特征，影响了正常交通秩序。
12,4865,异常停车_20240607073159_突发事件_35682192.mp4,异常停车,拥堵,2024年6月7日07:35至07:36期间，在外环高速沪太立交东2枪机2处，一辆红色货车在行车道上异常停车，车辆完全静止且开启双闪灯，驾驶员不在车内，导致后方多辆车辆被迫减速避让，交通流出现短暂拥堵，该行为违反了非停车区域禁止停车的规定，存在安全隐患，符合异常停车事件特征。
14,4867,异常停车_20240606112804_突发事件_35678999.mp4,异常停车,__UNK__,2024年6月6日11时27分52秒至11时28分51秒，外环高速漕宝入口匝道（内）路段出现抛洒物交通事件。在视频画面右侧车道标志线附近，可见一个黑色物体静止于路面，疑似为车辆遗落的货物或杂物。该异物未完全占据行车道但已对通行构成潜在威胁。期间无车辆经过该抛洒物。涉事车辆未在画面中明确显示，但根据现场情况判断，该抛洒物可能来自过往货运车辆运输过程中脱落的物品，存在安全隐患，需及时清理以保障道路安全畅通。
15,4868,多车事故_20240530152809_突发事件_35654829.mp4,正常,异常停车,2024年5月30日15时28分04秒至15时29分03秒，外环高速莘朱路路段，一辆黑色轿车停靠在道路右侧应急车道上，驾驶员身穿白色上衣和蓝色裤子，在车旁行走并多次弯腰查看车辆情况，期间有其他车辆经过（包括红色JAC货车、白色轿车及多辆小型客车）正常行驶，车辆通行未受明显影响。该车持续停留于非停车区域，且无明显故障迹象或警示标志，属于典型的异常停车行为，存在较大安全隐患。
16,4869,二轮车辆闯入_20230715120335_突发事件_1149569.mp4,正常,异常停车,2023年7月15日14时03分至14时04分，外环高速仙霞路（内）路段出现异常停车事件。一辆白色轿车在右侧应急车道完全停止，车辆未开启双闪灯，驾驶员下车查看情况，符合异常停车行为。
18,4871,多车事故_20240622131800_突发事件_35718810.mp4,拥堵,正常,2024年6月22日13时17分24秒至13时17分32秒，位于武宁路地道南线西向东方向路段，监控画面显示多辆机动车在隧道内行驶过程中发生拥堵。涉事车辆包括多辆小轿车，其中一辆白色轿车在车道中缓慢移动并逐渐形成排队现象，随后其他车辆陆续加入排队队列，车流速度明显下降。车辆均保持正常行驶状态，未见异常停车、事故或施工迹象，也无二轮车辆闯入或抛洒物情况。拥堵主要集中在隧道内主行车道，车辆排成长队，通行效率显著降低，持续时间约一分钟且无缓解趋势，符合拥堵判断标准。
19,4872,抛洒物_20240316111134_运行安全_35415772.mp4,正常,__UNK__,抛洒物
20,4873,异常停车_20240621232054_突发事件_35717764.mp4,正常,异常停车,2024年6月21日23时20分至23时51分，外环高速莘朱路路段夜间监控画面显示，一辆红色大型货车停靠在道路左侧应急车道上，车辆开启双闪灯，车身周围无明显施工标志或警示设施，符合异常停车行为。
21,4874,占道施工_20240323090249_运行安全_35433956.mp4,占道施工,异常停车,2024年03月23日星期六09:02:40至09:03:38期间，外环高速淞滨路西段出现异常停车事件。一辆白色轿车在右侧应急车道内长时间静止不动，车辆未开启双闪灯，且无明显故障迹象，符合异常停车行为。
22,4875,拥堵_20240101175120_突发事件_35284434.mp4,正常,拥堵,2024年1月1日17时51分至17时52分，外环高速莘庄立交东（外）路段出现严重交通拥堵，现场多辆小轿车、货车及大型运输车辆在湿滑路面上缓慢行驶或完全停滞，车流密集且持续时间较长，车辆尾灯连成一片，表明通行速度极低。该区域为高速公路弯道区域，夜间照明条件下，车辆灯光反射明显，但整体车流密度极高，导致后方车辆被迫减速并频繁变道，存在明显拥堵特征，未见异常停车、施工设施、事故痕迹或抛洒物等其他异常情况，主要表现为典型高峰时段瓶颈区域的交通拥堵现象。
