idx,event_id,video,gt_label,manual_note,annotation_bucket,note_flags,auto_suggest,auto_reason,human_keep,human_reason,human_note,base_label,base_pred_excerpt,text_positive_hits,text_negative_hits,ovd_found,lcrm_ok,lcrm_signal,lcrm_reason,lcrm_channel,lcrm_score,lcrm_compactness,lcrm_dx_union,lcrm_dy_union,lcrm_edge_norm_gap,lcrm_persistence,lcrm_static_count,lcrm_person_peak,lcrm_vehicle_peak
1,35639492,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
2,35638736,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
3,35640435,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
4,35639191,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
5,35638462,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
6,35712871,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
7,35712580,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
8,35711334,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
9,35713565,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
10,35710982,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
11,35711395,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
12,35713559,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
