event_id,video,source_jsonl,idx,human_reason,annotation_bucket,manual_note,human_keep
745935,多车事故_20230624204300_突发事件_745935.mp4,/root/autodl-tmp/高架桥数据/traffic_train.jsonl,196,collision_visible,collision_process_clear,有碰撞过程，无人员在车旁 有追尾/碰撞过程,yes
33411405,多车事故_20230730174600_突发事件_33411405.mp4,/root/autodl-tmp/高架桥数据/traffic_test.jsonl,194,collision_visible,collision_process_clear,有碰撞过程，无人员在车旁 有追尾/碰撞过程,yes
34430541,多车事故_20230805115000_突发事件_34430541.mp4,/root/autodl-tmp/高架桥数据/traffic_test.jsonl,193,collision_visible,collision_process_clear,有碰撞过程，无人员在车旁 有追尾/碰撞过程,yes
34674516,多车事故_20230830204400_突发事件_34674516.mp4,/root/autodl-tmp/高架桥数据/traffic_train.jsonl,190,collision_visible,collision_process_clear,有碰撞过程，无人员在车旁 有追尾/碰撞过程,yes
35075859,多车事故_20231109161400_突发事件_35075859.mp4,/root/autodl-tmp/高架桥数据/traffic_train.jsonl,185,collision_visible,collision_process_clear,有碰撞过程，无人员在车旁 有追尾/碰撞过程,yes
35204601,多车事故_20231208103800_突发事件_35204601.mp4,/root/autodl-tmp/高架桥数据/traffic_test.jsonl,184,collision_visible,collision_process_clear,有碰撞过程，无人员在车旁 有追尾/碰撞过程,yes
35315136,多车事故_20240112171600_突发事件_35315136.mp4,/root/autodl-tmp/高架桥数据/traffic_train.jsonl,181,collision_visible,collision_process_clear,有碰撞过程，无人员在车旁 有追尾/碰撞过程,yes
35359491,多车事故_20240209221400_突发事件_35359491.mp4,/root/autodl-tmp/高架桥数据/traffic_test.jsonl,180,collision_visible,collision_process_clear,有碰撞过程，无人员在车旁 有追尾/碰撞过程,yes
35359909,多车事故_20240210142900_突发事件_35359909.mp4,/root/autodl-tmp/高架桥数据/traffic_train.jsonl,179,collision_visible,collision_process_clear,有碰撞过程，有人员下车 有追尾/碰撞过程,yes
35394244,多车事故_20240307101800_突发事件_35394244.mp4,/root/autodl-tmp/高架桥数据/traffic_train.jsonl,177,collision_visible,collision_process_clear,有碰撞过程，有人员在车旁 有追尾/碰撞过程,yes
35464755,多车事故_20240403212100_突发事件_35464755.mp4,/root/autodl-tmp/高架桥数据/traffic_train.jsonl,175,collision_visible,collision_process_clear,有碰撞过程，无人员在车旁 有追尾/碰撞过程,yes
35508959,多车事故_20240423073700_突发事件_35508959.mp4,/root/autodl-tmp/高架桥数据/traffic_train.jsonl,172,collision_visible,collision_process_clear,有碰撞过程，有人员在车旁 有追尾/碰撞过程,yes
35717110,多车事故_20240621135230_突发事件_35717110.mp4,/root/autodl-tmp/高架桥数据/traffic_train.jsonl,49,collision_visible,collision_process_clear,有碰撞过程，碰撞后停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,yes
35717276,多车事故_20240621145015_突发事件_35717276.mp4,/root/autodl-tmp/高架桥数据/traffic_train.jsonl,42,collision_visible,collision_process_clear,有碰撞过程，碰撞后停车，无人员在车旁 有追尾/碰撞过程,yes
35718483,多车事故_20240622082700_突发事件_35718483.mp4,/root/autodl-tmp/高架桥数据/traffic_test.jsonl,168,collision_visible,collision_process_clear,有碰撞过程，无人员在车旁 有追尾/碰撞过程,yes
