index,id,video,gt_label,pred_label,pred_text
5,4858,异常停车_20240623150949_突发事件_35720119.mp4,异常停车,多车事故,2024年06月23日15:13至15:14，在外环高速联谊路西枪机1路段，发生了一起多车事故。涉事车辆包括一辆黑色轿车和一辆白色SUV，它们在行驶过程中发生了碰撞，导致车辆位置异常，其中黑色轿车斜停在车道上，白色SUV则紧随其后。事故现场有人员下车交涉，其他车辆被迫紧急避让或停滞，造成了交通拥堵。异常特征表现为车辆明显碰撞痕迹和驾驶员在车外交流，影响了该路段的正常通行秩序。
8,4861,拥堵_20240305081000_突发事件_35388729.mp4,拥堵,多车事故,2024年3月5日星期二08:12至08:13期间，外环高速铁力路西段出现严重交通拥堵，路面为雨后湿滑状态，能见度较低。该路段双向车流密集，车辆包括轿车、货车及大型运输车，其中以白色、黑色、红色等颜色的多辆轿车和货车为主，部分大型货车如集装箱车和油罐车在车流中占据较大空间。车辆行驶缓慢，尾灯普遍亮起，表明车速显著降低或处于缓行状态。道路两侧无施工设施或障碍物，亦无明显事故或抛洒物，但车流持续积压，形成长达数百米的拥堵队列，影响了正常通行效率，且无明显缓解趋势。整体表现为典型的早高峰时段因天气或车流量过大引发的交通拥堵事件，未见异常停车、占道施工、二轮车辆闯入或碰撞等直接诱因。
13,4866,异常停车_20230720162354_突发事件_33390958.mp4,异常停车,多车事故,2023年7月20日16时21分05秒，在外环高速丰翔路南段，一辆二轮摩托车从右侧车道驶入主路，进入高速公路行车道，驾驶员身穿深色衣物，佩戴头盔，车辆有明显牌照。该摩托车在车流中穿行，未见专用二轮车道或禁止标志，其行为属于闯入禁止通行区域的危险驾驶行为，对周围正常行驶的轿车和货车构成潜在碰撞风险，导致部分车辆紧急避让，影响了道路通行秩序与安全。该事件符合二轮车辆闯入交通异常特征，存在较大安全隐患。
15,4868,多车事故_20240530152809_突发事件_35654829.mp4,多车事故,异常停车,2024年5月30日15时28分05秒至15时29分03秒，外环高速莘朱路路段，一辆黑色轿车停靠在最左侧车道护栏旁，驾驶员下车后在车旁停留并弯腰查看车辆情况，车辆未开启双闪灯，持续占据路边空间，影响了正常行车秩序，存在异常停车行为。
16,4869,二轮车辆闯入_20230715120335_突发事件_1149569.mp4,二轮车辆闯入,拥堵,2023年7月15日14时03分至14时04分，外环高速仙霞路（内）路段出现交通拥堵事件。该路段为多车道高速公路，双向车流密集，车辆包括轿车、货车、客车及大型运输车辆。视频显示，从14:03:59开始，右侧车道车辆行驶缓慢，车距明显缩短，部分车辆处于低速移动或短暂停滞状态，持续时间约1分钟且无缓解趋势。左侧车道虽有车辆正常通行，但整体车流密度较高，部分车辆因前方拥堵而减速或变道。拥堵区域位于高架桥下，道路两侧绿树成荫，无施工迹象、抛洒物或事故车辆，也未见异常停车或二轮车辆闯入情况。拥堵主要表现为车辆排队长度超过正常范围，通行效率显著下降，符合典型早高峰时段因车流量大引发的常态化拥堵特征。
20,4874,占道施工_20240323090249_运行安全_35433956.mp4,占道施工,拥堵,2024年3月23日星期六上午9时02分至9时03分，外环高速松滨路西段出现交通拥堵事件。该路段为多车道高速公路，双向车流密集，其中南向北方向车辆行驶缓慢，形成连续排队现象，车辆间距明显缩小，部分车辆处于低速蠕动状态，持续时间超过1分钟且无缓解趋势。涉事车辆包括多辆轿车、货车及大型运输车，如绿色集装箱货车、黄色平板货车、白色厢式货车等，均在正常行驶车道内排队等候，未见异常停车或事故迹象。道路两侧设有警示标志和交通信号灯，但未见施工设施或人员，也无明显抛洒物或二轮车辆闯入情况。整体交通流呈现典型拥堵特征，影响范围覆盖多个车道，导致通行效率下降，符合拥堵判断标准中的多辆车缓慢移动、排队长度超常、发生在瓶颈区域等条件。
29,4883,拥堵_20231026084656_突发事件_35000276.mp4,拥堵,多车事故,2023年10月26日00:46至00:47期间，外环高速曹安路路段出现交通拥堵事件。该路段为双向多车道高速公路，右侧方向车流密集，车辆行驶缓慢，部分车辆处于低速移动或短暂停滞状态，排队长度持续延伸，影响通行效率。涉事车辆包括多辆轿车、货车及厢式运输车，其中以白色、红色和黄色货车为主，车辆在车道内依次缓慢前行，未见明显碰撞或异常停车行为，也无施工设施或抛洒物迹象。左侧对向车道车流相对顺畅，未受影响。拥堵主要集中在右侧主车道，可能与前方车流汇聚或前方出口分流有关，但未发现因占道施工、事故或二轮车辆闯入导致的拥堵原因。整体表现为典型早高峰时段的交通拥堵现象，车辆间距缩小，车速降低，存在潜在追尾风险，但未发生突发性交通事故。
30,4884,抛洒物_20240402065256_运行安全_35459975.mp4,抛洒物,异常停车,2024年04月02日06:52:54至06:53:53，在沪宁转外环外圈路段，一辆白色轿车在行车道上异常停车，车辆完全静止且未开启双闪灯，导致后方多辆车辆被迫减速避让，影响了道路的正常通行秩序，存在明显的交通安全隐患。
31,4885,异常停车_20240515114643_突发事件_35592570.mp4,异常停车,占道施工,2024年5月15日11时46分至11时47分，外环高速仙霞路（内）路段出现异常停车事件。一辆白色货车在右侧车道内完全静止，车辆未开启双闪灯，且无交通信号灯或标志允许其停车，驾驶员不在车内，车辆明显处于非正常行驶状态。该车停靠位置位于行车道内，周围无施工设施或警示标志，存在安全隐患。
40,4894,异常停车_20240614134000_突发事件_35704595.mp4,异常停车,二轮车辆闯入,2024年6月13日14时44分，在外环高速沪太立交西段，监控画面显示该路段车流密集，车辆行驶缓慢。在14:44:28左右，一名身穿橙色反光工作服的男性从画面右侧进入画面，沿右侧车道行走，随后在车流中穿行，未在专用通道或非机动车道内行驶，且未见明显停车或异常行为，其行为属于非紧急情况下的闯入高速公路主路。该男子在车流中穿行约1分钟，期间未与其他车辆发生碰撞，但其行为对正常交通秩序造成干扰，存在潜在安全隐患。由于该路段为高速公路，本应禁止二轮车辆通行，因此该行为符合二轮车辆闯入的异常特征。
41,4895,二轮车辆闯入_20230720072538_突发事件_6967302.mp4,二轮车辆闯入,抛洒物,2023年7月20日07时25分38秒，在外环高速北翟路立交北点，监控画面显示右侧车道边缘有一白色异物静止在路面上，疑似抛洒物。该异物位于行车道中央，足以影响车辆正常通行，且无车辆主动避让或急刹行为。从视频中可见，多辆汽车在经过该区域时出现轻微减速和变道行为，部分车辆在接近该区域时主动减速避让，存在潜在安全隐患。未见涉事车辆。此异常特征符合抛洒物判断标准，属于典型路面异物存在导致交通流受阻的交通事件。
