index,id,video,gt_label,pred_label,pred_text
10,4863,占道施工_20240421095734_运行安全_35504665.mp4,占道施工,异常停车,2024年4月21日10:09:58至10:10:56期间，外环高速蕴川立交东2枪机2监控画面显示，在沪太路出口前500米处，一辆黑色轿车和一辆白色小型客车在最右侧车道完全停止，车辆开启双闪灯，驾驶员未下车，车辆后方有多辆车辆正常行驶，部分车辆因该车停驶而减速避让或变道绕行。该车停车位置位于主路右侧车道，处于非停车区域，且无交通信号灯或标志允许停车，存在明显异常停车行为，影响了右侧行车道的通行效率，构成交通安全隐患。
13,4866,异常停车_20230720162354_突发事件_33390958.mp4,异常停车,二轮车辆闯入,2023年7月20日16时21分30秒左右，在外环高速丰翔路南段，一辆二轮摩托车驶入主路，进入高速公路行车道，该车辆未在专用通道或合法入口进入，且在车流中穿行，存在横穿车道等危险行为，驾驶员佩戴头盔，车辆有明显牌照，其闯入行为导致周边车辆紧急避让，影响了正常交通秩序，构成二轮车辆闯入交通异常事件。
15,4868,多车事故_20240530152809_突发事件_35654829.mp4,多车事故,异常停车,2024年5月30日15时28分05秒至15时29分03秒，外环高速莘朱路路段出现异常停车事件。一辆黑色轿车在行车道内完全静止，未开启双闪灯，驾驶员下车查看情况，车辆无明显故障迹象，存在安全隐患。该行为违反了高速公路禁止随意停车的规定，且未在应急车道或允许区域停车，进一步加剧了交通安全隐患。
16,4869,二轮车辆闯入_20230715120335_突发事件_1149569.mp4,二轮车辆闯入,异常停车,2023年7月15日14时03分10秒至14时03分57秒，外环高速仙霞路（内）路段，所有车辆均在正常行驶，未见任何车辆在非停车区域静止、无信号允许停车、未开启双闪灯或驾驶员不在车内等情况。车道通行顺畅，无车辆被迫绕行或减速现象，不符合异常停车判断标准。
18,4872,抛洒物_20240316111134_运行安全_35415772.mp4,抛洒物,拥堵,2024年3月4日16时14分至16时15分，在外环高速虹梅南路路段，发生占道施工事件。现场可见一辆黄色工程车停靠在最右侧车道，多名施工人员穿着反光背心在车辆周围进行作业，周围设置有多个橙白相间的警示牌，提示车辆减速慢行。施工区域占用了一条行车道，导致该车道车辆需变道行驶，影响了正常通行秩序。施工人员在作业过程中佩戴了反光标识，确保安全。该施工行为符合占道施工标准，包括使用警示设施、设置围挡和限制标志物等，对过往车辆造成一定影响，但整体交通流仍保持有序，未出现严重拥堵现象。
30,4884,抛洒物_20240402065256_运行安全_35459975.mp4,抛洒物,异常停车,2024年04月02日06:52:52至06:53:51，在某沪宁转外环外圈路段，一辆黑色轿车在行车道上异常停车，该车辆完全静止且开启双闪灯，驾驶员不在车内，导致后方车辆被迫减速避让，影响了道路的正常通行秩序，符合异常停车的判断标准。
36,4890,二轮车辆闯入_20230718141214_突发事件_1961340.mp4,二轮车辆闯入,多车事故,2023年7月18日14时12分15秒，在一条城市快速路的主车道上，一辆二轮电动车从左侧绿化带边缘驶入行车道，沿最左侧车道由南向北行驶，驾驶员身穿浅色上衣并佩戴头盔。该路段为多车道高速公路，车流密集，以货车和轿车为主，车辆行驶速度快且无专用非机动车道。该二轮车在车流中穿行，未见专用二轮车道标识，也无明显禁止标志，但其进入主车道的行为属于闯入禁止通行区域，存在逆行风险和横穿车道行为，导致周边车辆需紧急避让或减速，影响了正常交通秩序。此行为符合二轮车辆闯入交通异常事件特征，且无其他车辆与其发生碰撞或事故，但其危险行为已对正常交通秩序造成干扰。
48,4902,异常停车_20230718221620_突发事件_1963284.mp4,异常停车,占道施工,2023年7月18日22时16分至22时17分，夜间高速公路路段出现占道施工交通事件。现场可见一辆工程车辆停靠在右侧车道，车身带有警示灯，周围设置有反光锥桶和警示标志，表明正在进行道路施工或维护作业。该施工区域占用了一条行车道，导致后方车辆需减速并变道通行，影响了正常交通流。多辆轿车、货车及大型运输车辆依次通过施工区域，部分车辆因避让施工区域而出现轻微拥堵现象。施工区域无明显施工人员活动，但存在明显的施工设施布置，符合占道施工特征。整体交通秩序虽未完全中断，但车速明显降低，存在潜在安全隐患。
52,4906,拥堵_20231220084328_突发事件_35245026.mp4,拥堵,抛洒物,2023年12月20日星期三上午8时43分至8时44分，北环高速同济路立交南段出现交通拥堵事件。该路段为多车道高速公路，车流密集，主要由轿车、货车及少量客车组成，车辆在多个车道上缓慢行驶，部分车辆间歇性停顿，整体通行速度明显下降。拥堵区域位于立交桥附近，受前方车流影响，车辆排队长度持续增加，未见明显事故或障碍物导致阻塞，但车流密度较高且无缓解趋势，符合典型拥堵特征。现场无施工设施、异常停车或抛洒物等直接诱因，推测为高峰时段车流量过大所致。
58,4912,占道施工_20230816005058_运行安全_34587905.mp4,占道施工,异常停车,2023年8月16日00:50:53至00:51:52期间，外环高速老沪闵路东（内）路段夜间监控画面显示，多辆机动车在行车道上正常行驶，车流密集且车辆灯光明显。一辆白色轿车在右侧车道内长时间静止不动，开启双闪灯，且无驾驶员下车或明显故障迹象，周围其他车辆因避让该车而出现变道或减速行为，导致通行效率下降。该车停车位置位于道路右侧，占据行车道空间，影响正常交通流，符合异常停车特征，存在安全隐患。
63,4917,占道施工_20240525002701_运行安全_35633383.mp4,占道施工,拥堵,2024年5月25日00:26:56至00:27:55期间，嘉闵西侧真南路出口路段夜间发生占道施工交通事件。现场可见多辆工程车辆停靠在右侧车道，包括一辆黄色工程车和一辆闪烁警示灯的作业车，车辆周围设置有多个红白相间的交通锥桶，形成临时隔离带，占用部分行车道。施工区域设有警示牌和闪烁警示灯，提示过往车辆注意避让。施工人员身穿反光背心，在锥桶旁进行作业，对车道进行封闭引导。该施工导致右侧车道通行空间受限，车辆需减速并变道绕行，对交通流产生一定影响，但整体通行秩序较为有序。未见明显拥堵或事故现象。
68,4922,异常停车_20230716095332_突发事件_1153383.mp4,异常停车,拥堵,2023年7月16日09时53分至09时54分，外环高速丰翔路-1 02路段出现交通拥堵事件。该路段为多车道高速公路，两侧有绿化带和护栏，路面湿滑，天气阴雨。视频显示，从09:53:29开始，道路上车流明显缓慢移动，车辆包括轿车、货车、厢式货车及一辆红色大巴车等，均处于低速行驶状态，部分车辆间歇性停顿或排队等候。拥堵主要集中在画面右侧车道，车辆排成长队，持续时间约一分钟且无缓解趋势，符合拥堵判断标准中的多辆车缓慢移动、排队长度超常、持续一段时间且无缓解趋势的特征。未见异常停车、施工设施、二轮车辆闯入、事故碰撞或抛洒物等其他异常情况，因此判定为典型的雨天道路拥堵事件。
71,4925,二轮车辆闯入_20230717165524_突发事件_1356626.mp4,二轮车辆闯入,异常停车,2023年7月17日星期一16时54分22秒，外环高速京沪铁路桥南路段出现异常停车事件。一辆红色货车停靠在道路右侧车道上，车辆未开启双闪灯，且驾驶员不在车内，车辆处于完全静止状态，周围无交通信号灯或标志允许停车。该车停靠位置位于行车道上，非停车区域，导致后方多辆汽车被迫减速绕行，影响了正常交通流。现场无施工设施、无二轮车辆闯入、无抛洒物等其他异常情况，也未见明显碰撞痕迹或人员下车交涉，符合异常停车的典型特征。
77,4931,二轮车辆闯入_20230718182541_突发事件_1962428.mp4,二轮车辆闯入,多车事故,2023年7月18日18时25分39秒，在S20内至沪闵高架路段，一辆二轮车驶入右侧辅路，沿弯道行驶，驾驶员佩戴头盔，车辆未见明显牌照，其行为属于闯入禁止通行区域，存在逆行， MedicalExplaination: 该二轮车在非机动车专用道内行驶，并沿高架桥下弯道区域穿行，存在较大安全隐患，可能引发交通事故或交通异常情况。
93,4947,占道施工_20230909002352_运行安全_34746468.mp4,占道施工,拥堵,2023年9月9日星期六00:23:58至00:24:35期间，K14+050路段夜间出现严重交通拥堵事件。该路段为城市高架道路，双向多车道，左侧车道车辆密集，车流缓慢移动，尾灯连成一片红色光带，表明车辆处于低速行驶或短暂停滞状态。涉事车辆包括多辆轿车、货车及大型运输车，如红色集装箱货车、白色厢式货车和黄色出租车等，均在正常行驶过程中受阻。右侧车道车流相对顺畅，但受左侧拥堵影响，整体通行效率显著下降。拥堵区域位于高架桥与地面道路交汇处附近，可能因前方匝道汇入车流或出口分流导致，但未见明显事故或障碍物。现场未发现异常停车、占道施工、二轮车辆闯入或抛洒物等情况，也无明显碰撞痕迹或人员下车交涉行为，推测拥堵可能由上游交通压力或出口分流叠加所致。该事件持续约一分钟，造成车辆排队长度持续增加，影响范围覆盖多个车道，属于典型的高峰时段交通拥堵现象。
101,4955,抛洒物_20240530074153_运行安全_35652730.mp4,抛洒物,异常停车,2024年5月30日07:41至07:42，在外环高速丰翔路南段，一辆白色货车在行车道上异常停车，车辆完全静止且开启双闪灯，驾驶员不在车内，导致后方多辆车辆被迫减速绕行，交通流出现明显滞缓，符合异常停车的判断标准。
110,4965,拥堵_20231113071958_突发事件_35091185.mp4,拥堵,异常停车,2023年11月13日07时19分至07时20分，外环高速漕宝路北向南方向发生拥堵事件。画面显示该路段车流量密集，多辆轿车、货车及大型客车在多个车道上缓慢行驶或完全停滞，车辆间距极小，形成连续排队现象。涉事车辆包括白色厢式货车、绿色大型货车、白色大巴车、红色集装箱货车、黑色轿车及多辆私家车，均处于低速移动状态。车辆在多个车道内持续缓慢前行，未见明显事故或停车行为，但整体通行效率显著下降，后方车辆被迫减速并排成队列，部分车辆因避让前车而频繁变道。该拥堵影响范围较长，持续时间超过一分钟，且无缓解趋势，符合典型交通拥堵特征。现场未发现施工设施、抛洒物或异常停车情况，推测为高峰时段车流集中所致。
111,4966,占道施工_20231116003349_运行安全_35106756.mp4,占道施工,异常停车,2023年11月16日00时33分至00时34分，嘉闵西桃浦公路南路段夜间监控画面显示，一辆白色轿车在右侧车道内长时间静止不动，车辆开启双闪警示灯，且无驾驶员下车或故障迹象。车辆停靠位置位于非停车区域，周围无交通信号灯或标志允许临时停车，符合异常停车特征。该车持续占据行车道，导致后方多辆货车和轿车被迫减速绕行，影响了正常通行秩序，存在较大安全隐患。
118,4973,多车事故_20240622062856_突发事件_35717902.mp4,多车事故,异常停车,2024年6月22日06:28:43至06:29:44期间，S20外至S4金山方向的高架道路上出现异常停车事件。一辆红色货车在右侧车道完全静止，车辆未开启双闪灯，驾驶员在车旁活动，符合异常停车行为。
121,4976,拥堵_20230725074639_突发事件_33398640.mp4,拥堵,异常停车,2023年7月25日07时46分35秒至07时47分33秒，外环高速漕宝路北段监控画面显示，一辆白色面包车在右侧车道内完全静止，车辆未开启双闪灯，驾驶员不在车内，后方车辆被迫减速绕行。该行为持续约30秒，期间无其他车辆碰撞或事故迹象，但该车辆长时间占用行车道，导致后方车辆通行受阻，符合异常停车特征。
122,4977,二轮车辆闯入_20230719084953_突发事件_1965724.mp4,二轮车辆闯入,多车事故,2024年3月1日18时01分，在高速公路路段的右侧车道上，一辆红色货车长时间停靠在行车道内，车门打开，一名人员站在车旁，疑似车辆故障或正在检查车辆问题。该车处于非停车区域且无交通标志允许停车，导致后方车辆被迫减速绕行，影响了正常通行秩序。该行为符合异常停车的判断标准，存在安全隐患，可能引发追尾或侧滑事故。
