index,id,video,gt_label,pred_label,pred_text
0,4853,占道施工_20230820045634_运行安全_34614824.mp4,拥堵,占道施工,2023年8月20日04:56至04:57期间，外环高速联谊路东向西方向发生占道施工交通事件。现场位于G60市区方向下一出口附近，道路右侧车道被多个橙色交通锥桶封闭，形成临时施工区域，车道数量减少，车辆需变道行驶。施工区域内可见一辆工程车缓慢行驶，车顶警示灯闪烁，提示过往车辆注意避让。多辆货车、轿车及面包车依次通过该区域，车速明显降低，部分车辆因车道变窄而减速行驶。施工区域未见明显施工人员或大型机械作业，但存在明显的车道缩减和交通引导措施，导致通行效率下降。该事件属于典型的占道施工异常情况，对道路通行造成一定影响。
5,4858,异常停车_20240623150949_突发事件_35720119.mp4,异常停车,多车事故,2024年06月23日15:13:00至15:13:59，在外环高速联谊路西枪机1处，发生了一起多车事故。涉事车辆包括一辆黑色轿车和一辆白色SUV，两车停在行车道上，驾驶员站在车旁，似乎在进行交涉。事故没有造成后方车辆明显被迫减速或绕行，交通流量影响小。异常特征表现为车辆位置异常，且无明显施工或抛洒物等其他干扰因素，符合多车事故的判断标准。
10,4863,占道施工_20240421095734_运行安全_35504665.mp4,占道施工,抛洒物,2024年4月21日10:09:28至10:09:56期间，外环高速蕴川立交东路段出现抛洒物交通事件。在视频画面中，右侧车道上有多个红色和黄色的交通锥桶，以及一辆白色货车和一辆绿色货车，所有车辆正常行驶。然而，在10:09:28左右，一个重物进入了该路段行车道，导致车辆紧急避让。未见涉事车辆，随后，该抛洒物导致后方多辆汽车紧急减速或变道绕行，造成了短暂的交通拥堵和安全隐患。未见明显碰撞或人员下车处理，但已经对后续车辆造成影响。整个事件中，抛洒物尺寸较大，足以引发车辆避让行为，存在较大安全隐患。
12,4865,异常停车_20240607073159_突发事件_35682192.mp4,异常停车,拥堵,2024年6月7日07:36:00至07:36:29期间，在外环高速沪太立交东2枪机2处，一辆红色货车在行车道上异常停车，车辆完全静止且开启双闪灯，驾驶员不在车内，导致后方多辆车辆被迫减速避让，交通流出现短暂拥堵，该行为违反了非停车区域不得停车的规定，存在安全隐患。
14,4867,异常停车_20240606112804_突发事件_35678999.mp4,异常停车,抛洒物,2024年6月6日11时29分57秒至11时30分54秒，外环高速漕宝入口匝道（内）路段出现抛洒物交通事件。在视频画面中，右侧车道靠近中央隔离带处可见一块长条状异物（疑似金属板或木板）横卧于路面，位于行车道与应急车道之间，未被及时清理。该异物导致后方多辆货车和轿车行驶过程中出现急刹或绕行行为，尤其在11时30秒左右，一辆白色轿车明显减速避让该物体，随后多车紧随其后采取类似措施，造成局部短时通行受阻。涉事车辆包括一辆红色集装箱货车及后续多辆小型客车和货运车辆，均未发生碰撞但存在安全隐患。异常特征表现为：异物尺寸较大、位置固定、未见人员处理、持续影响车辆正常通行，且无警示标志提示，推测可能来自前方货车货箱脱落所致。
15,4868,多车事故_20240530152809_突发事件_35654829.mp4,多车事故,异常停车,2024年5月30日15时28分05秒至15时29分03秒，外环高速莘朱路路段监控画面显示，一辆灰色轿车停靠在道路左侧应急车道上，车辆开启双闪灯，驾驶员站在车旁，车辆处于完全静止状态。该车辆长时间占用应急车道，影响了应急通道的正常使用，且无明显故障迹象或紧急情况，符合异常停车特征。
16,4869,二轮车辆闯入_20230715120335_突发事件_1149569.mp4,二轮车辆闯入,异常停车,2023年7月15日14时03分10秒至14时03分57秒，外环高速仙霞路（内）路段出现异常停车事件。一辆白色轿车在右侧应急车道上突然停车并打开车门，随后有两人下车站在路边，其中一人走向旁边停靠的红色货车，疑似发生碰撞后停车处理。该行为导致后方车辆被迫减速绕行，形成短暂拥堵，影响了正常交通流。现场无明显事故痕迹，车辆停留时间较长且无交通信号灯或标志允许停车，符合异常停车特征。
17,4870,异常停车_20240614105451_突发事件_35704233.mp4,多车事故,异常停车,2024年6月14日10时59分12秒至11时01分10秒，外环高速沪太立交东2枪机2监控画面显示，一辆蓝色货车和一辆蓝色集装箱货车停靠在道路右侧紧急停车带内，两车均开启双闪灯，且长时间保持静止状态，期间有其他车辆从其旁边正常通过，未见明显应急救援活动。两车均处于非行车道但靠近紧急停车带区域，无交通标志允许停车，驾驶员未佩戴头盔，车辆状态疑似故障或违规停车。该停车行为持续约一分钟，期间未造成后方车辆绕行或减速，但对正常行驶车辆构成潜在安全隐患，属于异常停车事件。
18,4871,多车事故_20240622131800_突发事件_35718810.mp4,多车事故,异常停车,2024年6月22日13时17分23秒至13时17分30秒，武宁路地道南线西口监控画面显示，一辆白色轿车在隧道右侧车道内长时间静止不动，车辆开启双闪灯，驾驶员下车后站在车旁，车辆后方有多辆车辆因避让而紧急刹车或变道，导致短时交通拥堵。该车停靠位置位于行车道内，属于非停车区域，且无任何交通标志允许临时停车，存在明显异常停车行为，影响了正常交通秩序。
19,4872,抛洒物_20240316111134_运行安全_35415772.mp4,抛洒物,多车事故,2024年3月4日16时14分至16时15分，在外环高速虹梅南路路段，出现红色纸盒状抛洒物逆时针缓缓向对向车道扩散。该区域无明显事故迹象，但路面车辆行驶正常，抛洒物持续存在并经过近分钟时间，不易被察觉。该事件未见明显车辆碰撞或停车行为，也未发现其他异常停车或施工迹象，且该路段为多车道高速公路，车流密集，存在潜在安全隐患。整体影响为部分车辆行驶中车道质量有所干扰，存在引发后车紧急避让风险。
20,4873,异常停车_20240621232054_突发事件_35717764.mp4,异常停车,多车事故,2024年6月21日23时20分至23时51分，外环高速莘朱路路段夜间监控画面显示，一辆装载多辆挖掘机的红色平板货车停靠在道路左侧应急车道内，车辆未开启双闪警示灯，且长时间静止不动，驾驶员不在车内或车辆无明显故障迹象。该车所在位置为非停车区域，周围无交通信号灯或标志允许临时停车，车辆长时间占用车道，导致后方车辆需绕行或减速避让，影响了正常行车秩序。该行为符合异常停车特征，存在安全隐患，可能引发追尾或剐蹭事故。
21,4874,占道施工_20240323090249_运行安全_35433956.mp4,占道施工,拥堵,2024年03月23日星期六09:02:45至09:03:43期间，外环高速淞滨路西段出现交通拥堵事件。该路段为多车道高速公路，车流密集，主要由轿车、货车及厢式运输车组成，车辆在多个车道内缓慢行驶，部分车辆间歇性停顿，整体通行速度明显下降。左侧车道车辆排成长队，右侧车道虽有车辆保持一定速度通行，但受整体车流影响，存在缓行现象。未见明显事故或障碍物，但车道内设置有红色和白色相间的交通锥桶，可能为占道施工或临时管制措施，导致车道数量减少，引发后方车辆积压。由于天气阴沉、能见度较低，车辆行驶状态受限，导致交通流持续拥堵，影响了该路段的正常通行效率。异常特征表现为长时间低速行驶、车辆间距缩小、车流密度高，符合典型拥堵判断标准。
24,4877,占道施工_20240430000257_运行安全_35546785.mp4,拥堵,占道施工,2024年4月30日00:05:04至00:06:03期间，外环高速沪太立交西3枪机1监控画面显示，夜间高速公路右侧车道正在进行占道施工。施工区域位于道路右侧，现场有多名身穿反光背心、头戴安全帽的施工人员在作业，其中一名工作人员站在一辆黄色工程车旁，该车顶部装有警示灯并亮起红蓝警示灯。施工区域用多个红白相间的交通锥桶进行隔离，形成临时封闭区，车道被部分占用，导致车辆需绕行或减速通过。施工车辆停放在施工区域前方，未见明显施工行为，但存在明显的施工设施布置。该施工行为导致右侧车道通行能力下降，过往车辆需调整行驶路线，存在潜在交通风险。整体画面显示施工区域布置规范，但未见施工人员进行高空作业，符合占道施工判断标准。
27,4880,占道施工_20231010231541_运行安全_34918688.mp4,拥堵,占道施工,2023年10月10日23时15分至23时16分，嘉闵西侧真南路出口路段夜间发生占道施工交通事件。现场可见多辆工程车辆停靠在道路右侧车道，其中一辆黄色工程车停于最左侧车道，周围设置有多个橙白相间的交通锥桶进行区域隔离，多名身穿反光背心的施工人员在车辆周围作业，部分人员在移动或调整锥桶位置。施工区域占用了一条行车道，导致该车道车辆需减速绕行，对通行造成一定影响。施工区域设有警示灯和指示牌，提示前方施工，但未见明显的施工围挡或大型机械作业。整体交通流保持有序，未出现拥堵或事故情况，但存在因施工导致的车道减少和车速降低现象，符合占道施工典型特征。
28,4881,占道施工_20240523232826_运行安全_35628713.mp4,占道施工,拥堵,2024年05月23日23:28:22至23:28:45，在某高速公路路段，发生了一起占道施工交通事件。现场可见多辆工程车辆和施工人员在车道内进行作业，施工人员穿着反光背心，操作相关设备，车道被多个锥桶遮挡，导致车道数量减少，车辆需变道或减速通行。涉事车辆包括一辆黄色工程车和其他几辆小型货车，它们在施工区域附近停留或缓慢通过。此事件影响了该路段的正常交通秩序，过往车辆被迫减速或变更车道，但未造成严重的交通拥堵。异常特征包括明显的施工设施、施工人员的活动以及车辆被迫绕行的行为。
31,4884,抛洒物_20240402065256_运行安全_35459975.mp4,拥堵,异常停车,2024年04月02日06:52:50至06:53:48，在沪宁转外环外圈执勤1处，监控画面显示该路段为单向两车道的弯道，路面湿滑，右侧有少量水渍。在06:53:03左右，一辆白色轿车在行车道上完全静止，且无驾驶员下车或明显故障迹象，周围其他车辆正常行驶，该行为属于非紧急情况下的异常停车，存在安全隐患。
