case_type,index,video,gt_label,pred_label,video_path,copied_to,has_vscm_hint,vscm_reason,static_count,moving_count,static_ratio,contact_frames,close_frames,context_frames,context_hits,pred_text
TP_correct_multicar,1140,多车事故_20240612172420_突发事件_35699282.mp4,多车事故,多车事故,/root/autodl-tmp/高架桥数据/video_fixed/多车事故_20240612172420_突发事件_35699282.mp4,/root/autodl-tmp/高架桥数据/e8_multicar_case_study/TP_correct_multicar/多车事故_20240612172420_突发事件_35699282.mp4,False,context_without_vehicle_relation,5,30,0.143,0,0,10,"{""construction vehicle"": 5, ""person"": 22, ""road barrier"": 11}",2024年6月12日17时24分至17时25分，位于城市高架桥路段的右侧车道发生多车事故。涉事车辆包括一辆黑色轿车、一辆白色SUV及多辆前后行驶的车辆，其中黑色轿车停靠在最右侧车道边缘，车旁有两名人员站立，疑似驾驶员与乘客下车查看情况，另一名人员靠近车旁；白色SUV紧随其后，俩车均处于异常停车状态，导致后方车辆被迫减速绕行。事故区域可见车辆刹车灯亮起，交通流明显受阻，形成短暂拥堵。事故未见明显碰撞痕迹，但车辆位置异常且无明显警示标志，符合多车事故特征。
TP_correct_multicar,168,多车事故_20240621152616_突发事件_35717354.mp4,多车事故,多车事故,/root/autodl-tmp/高架桥数据/video_fixed/多车事故_20240621152616_突发事件_35717354.mp4,/root/autodl-tmp/高架桥数据/e8_multicar_case_study/TP_correct_multicar/多车事故_20240621152616_突发事件_35717354.mp4,False,,,,,,,,{},2024年6月21日15时26分至15时27分，嘉闵西侧定焦07监控点位拍摄到隧道内发生多车事故。事故发生在隧道中段，涉事车辆包括一辆白色货车、一辆白色轿车。视频显示，俩辆车已经发生事故，在最右侧车道停靠，疑似白色轿车追尾白色货车。事故造成右侧车道车辆明显拥堵，部分车辆横向偏移，存在碰撞痕迹，且有车辆紧急刹车行为。事故影响了隧道内双向交通流，引发后方车辆排队缓行，整体通行效率下降。异常特征表现为车辆密集、刹车灯频繁亮起、车距骤减及车辆位置异常，符合多车事故判断标准。
TP_correct_multicar,103,多车事故_20240530085706_突发事件_35653363.mp4,多车事故,多车事故,/root/autodl-tmp/高架桥数据/video_fixed/多车事故_20240530085706_突发事件_35653363.mp4,/root/autodl-tmp/高架桥数据/e8_multicar_case_study/TP_correct_multicar/多车事故_20240530085706_突发事件_35653363.mp4,False,context_without_vehicle_relation,2,50,0.038,0,0,10,"{""construction vehicle"": 5, ""road barrier"": 12, ""traffic cone"": 3}",2024年5月30日08:56至08:57，在外环高速顾戴路北（内）路段，发生了一起多车事故。涉事车辆包括一辆白色面包车和一辆黑色轿车，这些车辆在行驶过程中发生了碰撞，导致车辆位置异常，其中白色面包车斜停在车道上，黑色轿车在其前方。事故现场有人员下车交涉，其他车辆被迫紧急避让或停滞，造成了交通拥堵。此次事故的异常特征在于多辆车同时受困，且事故区域内的车辆行为明显异常，如频繁变道和减速，进一步加剧了交通压力。
TP_correct_multicar,544,多车事故_20240523200201_突发事件_35628681.mp4,多车事故,多车事故,/root/autodl-tmp/高架桥数据/video_fixed/多车事故_20240523200201_突发事件_35628681.mp4,/root/autodl-tmp/高架桥数据/e8_multicar_case_study/TP_correct_multicar/多车事故_20240523200201_突发事件_35628681.mp4,False,context_without_vehicle_relation,3,18,0.143,0,1,5,"{""construction vehicle"": 5, ""person"": 5, ""road barrier"": 1}",2024年5月23日20时01分56秒至20时02分56秒，外环高速吴淞江桥路段发生一起多车事故。事故发生在夜间，监控画面显示该路段车流量较大，车辆行驶缓慢。在右侧车道中，一辆白色轿车与前方货车发生追尾。涉事车辆包括白色轿车、白色厢式货车及一辆黑色集装箱货车，均处于异常停车状态，导致后方车辆被迫减速绕行，形成明显拥堵。事故现场有人员下车交涉，但后方车辆出现紧急刹车与变道行为，造成交通流受阻，影响了整体通行效率。异常特征表现为多车连续碰撞、车辆位置异常以及人员下车交涉，符合多车事故判断标准。
TP_correct_multicar,424,多车事故_20240622082700_突发事件_35718483.mp4,多车事故,多车事故,/root/autodl-tmp/高架桥数据/video_fixed/多车事故_20240622082700_突发事件_35718483.mp4,/root/autodl-tmp/高架桥数据/e8_multicar_case_study/TP_correct_multicar/多车事故_20240622082700_突发事件_35718483.mp4,False,,,,,,,,{},2024年8月22日06时27分23秒至06时28分30秒，在武宁路4期北方向的主车道上发生一起多车事故。事故发生在隧道内靠近出口匝道区域，涉事车辆包括一辆白色面包车和其后方两辆小轿车，具体为一辆白色轿车（车牌号沪D****68）与前方白色轿车发生追尾，随后发生追赶并停车。事故发生后，多辆车辆紧急刹车或停顿，造成后方车辆排队缓行，包括一辆红色轿车、一辆白色轿车及多辆小型客车均出现短暂拥堵。现场未见明显人员下车交涉或交警到场，但车辆位置异常表现为前车无明显停顿，后车被迫减速绕行，存在明显的碰撞痕迹和位置异常特征，表明车辆间存在碰撞作用，导致交通流受阻。此事件未造成车辆完全中断，但持续影响通行效率
FP_wrong_as_multicar,484,拥堵_20240310124405_突发事件_35398692.mp4,拥堵,多车事故,/root/autodl-tmp/高架桥数据/video_fixed/拥堵_20240310124405_突发事件_35398692.mp4,/root/autodl-tmp/高架桥数据/e8_multicar_case_study/FP_wrong_as_multicar/拥堵_20240310124405_突发事件_35398692.mp4,False,,,,,,,,{},2024年5月10日12时44分，外环高速沪太立交东1-1路段出现交通拥堵事件，现场多辆机动车在行车道上缓慢行驶或停滞，车辆排成长队，车流密度高，通行速度明显下降。涉事车辆包括轿车、货车、客车及工程车辆，其中可见白色大巴、红色集装箱货车、黄色工程车和大量私家车。车辆均保持低速行驶状态，部分车辆间歇性变道，但未发生碰撞或事故。该拥堵发生在高速公路主干道，影响范围较长，持续时间超过10秒且无缓解趋势，符合拥堵判断标准中的多辆车缓慢移动、排队长度超常、发生在瓶颈区域等特征，属于典型交通拥堵事件。
FP_wrong_as_multicar,286,异常停车_20240621201008_突发事件_35717757.mp4,异常停车,多车事故,/root/autodl-tmp/高架桥数据/video_fixed/异常停车_20240621201008_突发事件_35717757.mp4,/root/autodl-tmp/高架桥数据/e8_multicar_case_study/FP_wrong_as_multicar/异常停车_20240621201008_突发事件_35717757.mp4,False,context_without_vehicle_relation,3,41,0.068,0,0,3,"{""construction vehicle"": 4, ""road barrier"": 3}",2024年6月21日20时10分至20时11分，外环高速吴淞江桥南路段发生一起多车事故。事发时段为夜间，路面湿滑，能见度较低。事故发生在由南向北方向的行车道上，涉事车辆包括俩辆轿车，其中一辆银色轿车在行驶过程中与前方白色车辆发生追尾，导致后方车辆紧急刹车并引发连锁碰撞。事故现场有车辆驾驶员下车查看情况，后方车辆被迫减速绕行，交通流明显受阻，车速下降，形成短时拥堵。异常特征表现为多车连续碰撞痕迹、车辆位置异常、刹车灯密集亮起以及后方车辆避让行为，符合多车事故判断标准。
FP_wrong_as_multicar,235,二轮车辆闯入_20230719091351_突发事件_1966474.mp4,二轮车辆闯入,多车事故,/root/autodl-tmp/高架桥数据/video_fixed/二轮车辆闯入_20230719091351_突发事件_1966474.mp4,/root/autodl-tmp/高架桥数据/e8_multicar_case_study/FP_wrong_as_multicar/二轮车辆闯入_20230719091351_突发事件_1966474.mp4,False,context_without_vehicle_relation,5,30,0.143,0,0,12,"{""construction vehicle"": 13, ""person"": 10, ""road barrier"": 5}",2023年7月19日星期三上午9时13分至9时14分，外环高速同济路路段发生一起多车事故。事故发生在道路右侧车道，涉事车辆包括一辆白色轿车和一辆黑色轿车，视频中俩车在最右侧车道双闪停靠，疑似两车在行驶过程中发生碰撞，导致白色轿车停靠在应急车道，车门打开，驾驶员下车站在车旁。黑色轿车则斜停在行车道上，影响后方车辆正常通行。事故发生后，后方车辆出现减速绕行现象，交通流受到明显影响，形成短暂拥堵。现场未见明显人员伤亡或严重损坏，但存在车辆位置异常、人员下车交涉等典型多车事故特征。
FP_wrong_as_multicar,1149,拥堵_20240313203004_突发事件_35408011.mp4,拥堵,多车事故,/root/autodl-tmp/高架桥数据/video_fixed/拥堵_20240313203004_突发事件_35408011.mp4,/root/autodl-tmp/高架桥数据/e8_multicar_case_study/FP_wrong_as_multicar/拥堵_20240313203004_突发事件_35408011.mp4,False,,,,,,,,{},2024年3月13日20时30分05秒至20时30分58秒，嘉闵西侧定焦04监控点位拍摄到隧道内发生多车事故。事故发生在隧道中段，涉事车辆包括多辆正常行驶的车辆，其中一辆在行驶过程中突然停车，导致后方多辆车紧急刹车或变道避让，形成最初的交通拥堵。其次，视频中可见两辆及以上车辆出现紧急刹车痕迹，车辆位置异常，部分车辆斜停或横跨车道，显示出强烈的避让和减速行为。事故未见明显碰撞痕迹或人员下车交涉，但车辆密集且通行缓慢，影响了隧道内持续正常的交通流。因此判断为多车事故，且造成持续拥堵。
FP_wrong_as_multicar,205,拥堵_20240208172331_突发事件_35358444.mp4,拥堵,多车事故,/root/autodl-tmp/高架桥数据/video_fixed/拥堵_20240208172331_突发事件_35358444.mp4,/root/autodl-tmp/高架桥数据/e8_multicar_case_study/FP_wrong_as_multicar/拥堵_20240208172331_突发事件_35358444.mp4,False,,,,,,,,{},2024年02月08日17:23至17:24，在某高速公路路段发生一起多车事故。涉事车辆包括一辆白色轿车和一辆蓝色SUV，其中白色轿车与蓝色SUV发生碰撞，导致两车产生明显碰撞痕迹且位置异常，横跨车道，影响后方车辆正常通行。事故现场有人员下车查看情况，其他车辆被迫紧急避让或停滞，造成该路段交通流受阻，进一步引发了进一步的拥堵现象。异常特征表现为车辆位置异常、人员下车处理、其他车辆紧急避让或停滞，且事故区域位于城市快速路，影响范围较长，持续时间较长，符合多车事故的判断标准。
