index,id,video,gt_label,pred_label,pred_text
5,4858,异常停车_20240623150949_突发事件_35720119.mp4,异常停车,多车事故,2024年06月23日15:13:00至15:13:59，在外环高速联谊路西枪机1处，发生了一起多车事故。涉事车辆包括一辆黑色轿车和一辆白色SUV，黑色轿车在雨天湿滑的路面上行驶过程中发生碰撞，导致其与前方白色SUV发生严重碰撞，两车位置异常，斜停于车道内。事故现场有人员下车交涉，其他车辆被迫紧急避让或停滞，交通秩序受到严重影响，后续车辆出现缓慢移动甚至完全停止的情况，形成了短暂的拥堵现象。此次事故的异常特征在于车辆的明显碰撞痕迹和驾驶员在事故后的紧急应对行为，对道路通行造成了持续的干扰。
7,4860,异常停车_20240511021033_突发事件_35579528.mp4,异常停车,多车事故,2024年5月11日02时10分至02时12分，在外环高速莘朱路路段，一辆红色货车在右侧应急车道内长时间静止不动，车辆未开启双闪灯，且无明显故障迹象。该车停靠位置位于道路右侧护栏旁，占用应急车道，导致后方车辆需绕行或减速避让，影响了正常交通流的通行效率。此行为符合异常停车的判断标准，存在安全隐患，可能引发追尾或交通事故。
10,4863,占道施工_20240421095734_运行安全_35504665.mp4,占道施工,多车事故,2024年4月21日10:09:28至10:09:56期间，外环高速蕴川立交东路段出现抛洒物交通事件。在视频画面中，右侧车道上有多个红色锥桶散落在路面，表明有车辆行驶过程中掉落物品导致这些物品在车道上散乱。该区域车流密集，多辆轿车、货车及厢式车辆正常行驶，但因抛洒物造成后方车辆紧急避让或减速，存在安全隐患。涉事车辆未在画面中明确显示，但根据抛洒物位置及交通状况推测，可能为前方车辆遗落所致。此事件持续存在约一分钟，影响了该路段的通行秩序，存在潜在追尾风险。
11,4864,占道施工_20240222105430_运行安全_35369125.mp4,占道施工,拥堵,2024年2月22日星期四上午10:57至10:58，外环高速蕴川立交西枪机2监控区域未发生异常停车事件。该路段为多车道高速公路，车流密集，包含轿车、货车、厢式货车及工程车辆等多种类型车辆，其中有多辆黄色工程车和大型集装箱货车在行驶过程中因操作设备或调整位置而产生轻微晃动，但未发生碰撞或停车行为。现场未见施工设施、警示标志或人员活动，也无明显抛洒物或事故迹象，整体交通秩序正常，车辆行驶平稳，无拥堵现象，符合非停车区域交通管理规范。
12,4865,异常停车_20240607073159_突发事件_35682192.mp4,异常停车,拥堵,2024年6月7日07:36:00至07:36:29期间，在外环高速沪太立交东2枪机2处，一辆红色货车在行车道上异常停车，车辆完全静止且开启双闪灯，驾驶员不在车内，导致后方多辆车辆被迫减速避让，交通流出现短暂拥堵，该行为违反了非停车区域禁止停车的规定，存在安全隐患。
14,4867,异常停车_20240606112804_突发事件_35678999.mp4,异常停车,抛洒物,2024年6月6日11时29分58秒至11时30分56秒，外环高速漕宝入口匝道（内）路段出现抛洒物交通事件。在视频画面右侧车道标志线附近，可见一个黑色物体静止于路面，疑似为车辆遗落的货物或杂物。该异物未完全占据行车道但已对通行构成潜在威胁。期间无车辆经过该抛洒物。涉事车辆未在画面中明确显示，但根据现场情况判断，该抛洒物可能来自过往货运车辆运输过程中脱落的物品，存在安全隐患，需及时清理以保障道路安全畅通。
15,4868,多车事故_20240530152809_突发事件_35654829.mp4,多车事故,异常停车,2024年5月30日15时28分05秒至15时29分03秒，外环高速莘朱路路段，一辆灰色轿车在最左侧车道完全静止，驾驶员下车查看，车辆未开启双闪灯，且长时间停靠在行车道上，导致后方多辆车辆被迫减速绕行，影响正常交通秩序，存在明显的异常停车特征。
16,4869,二轮车辆闯入_20230715120335_突发事件_1149569.mp4,二轮车辆闯入,异常停车,2023年7月15日14时03分10秒至14时03分17秒，外环高速仙霞路（内）路段出现异常停车事件。一辆白色轿车在右侧应急车道上突然停车并打开车门，随后有两人下车站在路边，其中一人走向旁边停靠的红色货车，疑似发生碰撞后停车处理。该行为导致后方车辆被迫减速绕行，影响了右侧车道的正常通行秩序，形成局部交通干扰。涉事车辆为一辆白色轿车，驾驶员下车后离开现场，未见明显故障迹象，但其违规停车行为构成交通异常停车，存在安全隐患。
17,4870,异常停车_20240614105451_突发事件_35704233.mp4,多车事故,异常停车,2024年6月14日10时59分12秒至11时01分10秒，外环高速沪太立交东2枪机监控画面显示，一辆蓝色货车在道路右侧应急车道内完全静止，车辆未开启双闪灯，驾驶员下车活动，符合异常停车行为。
18,4871,多车事故_20240622131800_突发事件_35718810.mp4,多车事故,异常停车,2024年6月22日13时17分23秒至13时17分30秒，武宁路地道南线西口路段监控画面显示，一辆白色轿车在最右侧车道停靠，车辆开启双闪灯，驾驶员下车查看，符合异常停车行为。
