index,id,video,gt_label,pred_label,pred_text
0,4853,占道施工_20230820045634_运行安全_34614824.mp4,拥堵,占道施工,2023年8月20日04:56:20至04:57:18期间，外环高速联谊路东段发生占道施工交通事件。现场可见一辆工程作业车停靠在右侧车道，车顶警示灯闪烁，周围设置多排橙白相间的交通锥桶，形成临时隔离带，占用部分行车道。一名身穿反光背心的工作人员在作业车附近活动，疑似进行道路维护或施工作业。该施工区域位于道路右侧，导致车辆需绕行或减速通过，通行效率下降。过往车辆包括多辆货车、轿车及面包车，均按正常行驶轨迹通过，未见明显拥堵或事故。施工区域设有“下一出口”指示牌，限速80公里/小时，且无其他异常行为发生，整体为常规占道施工行为，对交通流造成一定影响但未构成严重安全隐患。
5,4858,异常停车_20240623150949_突发事件_35720119.mp4,异常停车,多车事故,2024年06月23日15:13:12至15:13:40，在外环高速联谊路西枪机1处，发生了一起多车事故。涉事车辆包括一辆黑色轿车和一辆白色SUV，它们在雨天湿滑的路面上行驶过程中发生了碰撞，导致车辆位置异常，部分车辆横跨车道或斜停在道路上。事故现场有人员下车查看情况，交通一度受阻，其他车辆被迫减速或绕行，交通流量明显受到影响，形成了短暂的拥堵现象。此次事故的异常特征在于车辆的碰撞痕迹和位置异常，对道路通行造成了显著影响。
10,4863,占道施工_20240421095734_运行安全_35504665.mp4,占道施工,二轮车辆闯入,2024年4月21日10时09分33秒至10时10分01秒，外环高速蕴川立交东路段，一辆二轮摩托车驶入主干道，进入机动车行驶区域，该车辆未在专用非机动车道或辅路行驶，且在车流中穿行，存在横穿车道的危险行为，周围多辆汽车被迫减速避让，影响了正常交通秩序，构成典型的二轮车辆闯入交通异常事件。
11,4864,占道施工_20240222105430_运行安全_35369125.mp4,占道施工,异常停车,2024年2月22日星期四上午10:57至10:58，外环高速蕴川立交西枪机2监控区域，一辆红色货车在最右侧车道内长时间静止不动，车辆未开启双闪灯，驾驶员下车查看情况后上车，导致后方车辆被迫减速绕行，形成局部拥堵。该车停靠位置位于行车道内，非停车区域，且无任何交通标志允许临时停车，其行为符合异常停车特征，影响了正常交通秩序。
14,4867,异常停车_20240606112804_突发事件_35678999.mp4,异常停车,抛洒物,2024年6月6日11时27分52秒至11时28分51秒，外环高速漕宝入口匝道（内）路段出现抛洒物交通事件。在视频画面右侧车道标志线附近，可见一个黑色物体静止于路面，疑似为车辆遗落的货物或杂物。该异物未完全占据行车道但已对通行构成潜在威胁。期间无车辆经过该抛洒物。涉事车辆未在画面中明确显示，但根据现场情况判断，该抛洒物可能来自过往货运车辆运输过程中脱落的物品，存在安全隐患，需及时清理以保障道路安全畅通。
15,4868,多车事故_20240530152809_突发事件_35654829.mp4,多车事故,异常停车,2024年5月30日15时28分04秒至15时29分03秒，外环高速莘朱路路段，一辆黑色轿车停靠在道路右侧应急车道上，驾驶员身穿白色上衣和蓝色裤子，在车旁行走并多次弯腰查看车辆情况，期间有其他车辆经过（包括红色JAC货车、白色轿车及多辆小型客车）正常行驶，车辆通行未受明显影响。该车持续停留于非停车区域，且无明显故障迹象或警示标志，属于典型的异常停车行为，存在较大安全隐患。
16,4869,二轮车辆闯入_20230715120335_突发事件_1149569.mp4,二轮车辆闯入,异常停车,2023年7月15日14时03分至14时04分，外环高速仙霞路（内）路段出现异常停车事件。一辆白色轿车在右侧应急车道完全停止，车辆未开启双闪灯，驾驶员下车查看情况，符合异常停车行为。
17,4870,异常停车_20240614105451_突发事件_35704233.mp4,多车事故,异常停车,2024年6月14日10时59分12秒至10时59分45秒，外环高速沪太立交东2枪机2监控画面显示，一辆蓝色货车停靠在道路右侧应急车道内，车辆开启双闪灯，且驾驶员未下车。该车辆长时间静止于非停车区域，导致后方多辆车辆被迫减速绕行，影响了应急车道的正常通行功能。此行为符合异常停车的判断标准，存在安全隐患，且未按规定设置警示标志，进一步加剧了交通风险。
18,4871,多车事故_20240622131800_突发事件_35718810.mp4,多车事故,拥堵,2024年6月22日13时17分24秒至13时17分32秒，位于武宁路地道南线西向东方向路段，监控画面显示多辆机动车在隧道内行驶过程中发生拥堵。涉事车辆包括多辆小轿车，其中一辆白色轿车在车道中缓慢移动并逐渐形成排队现象，随后其他车辆陆续加入排队队列，车流速度明显下降。车辆均保持正常行驶状态，未见异常停车、事故或施工迹象，也无二轮车辆闯入或抛洒物情况。拥堵主要集中在隧道内主行车道，车辆排成长队，通行效率显著降低，持续时间约一分钟且无缓解趋势，符合拥堵判断标准。
21,4874,占道施工_20240323090249_运行安全_35433956.mp4,占道施工,异常停车,2024年03月23日星期六09:02:40至09:03:38期间，外环高速淞滨路西段出现异常停车事件。一辆白色轿车在右侧应急车道内长时间静止不动，车辆未开启双闪灯，且无明显故障迹象，符合异常停车行为。
24,4877,占道施工_20240430000257_运行安全_35546785.mp4,拥堵,占道施工,2024年4月30日00:05:59至00:06:58期间，外环高速沪太立交西3枪机1监控画面显示，夜间高速公路右侧车道正在进行占道施工。施工区域位于道路右侧，由一辆黄色工程车停靠在路边，车顶装有警示灯，周围设置多个红白相间的交通锥桶，形成临时隔离带，引导车辆绕行。现场有数名身穿反光背心的施工人员在作业，其中一人站在工程车旁，另一人沿锥桶排列进行引导。施工车辆未见明显作业行为，但已对车道通行造成影响。该区域为非正常通行状态，车辆需减速并变道通过，影响了右侧车道的正常通行效率。异常特征包括：施工设施（锥桶、工程车）占据部分车道，施工人员在场作业，且存在明显的交通引导措施，符合占道施工判断标准。
25,4878,占道施工_20240427231609_运行安全_35538441.mp4,占道施工,拥堵,2024年4月23日22时16分至22时17分，G60市区方向至S4金山方向路段发生占道施工交通事件。现场可见多辆车辆在夜间行驶，道路中间设置了一排交通锥桶，形成临时隔离带，占用部分车道。施工区域前方有一辆闪烁着蓝红警示灯的工程车缓慢行驶，疑似正在进行道路维护或施工作业。多辆货车和轿车依次通过该区域，车速明显降低，部分车辆需减速避让，导致通行效率下降。施工区域未见明显施工人员或大型机械，但存在明显的车道缩减和交通引导措施，符合占道施工特征。整体影响为局部车道通行受阻，存在潜在拥堵风险。
28,4881,占道施工_20240523232826_运行安全_35628713.mp4,占道施工,拥堵,2024年05月23日23:28:21至23:28:48，在某高速公路路段，发生了一起占道施工交通事件。现场可见多辆工程车辆和施工人员在车道内进行作业，施工人员穿着反光背心，操作相关设备，车道被多个锥桶遮挡，导致车道数量减少，车辆需变道或减速通行。涉事车辆包括一辆黄色工程车和一辆白色货车，它们停在施工区域内，对过往车辆造成一定影响，车辆被迫减速或变更车道以避开施工区域。异常特征包括施工区域设有明显的警示牌和闪烁的警示灯，确保过往车辆能够及时注意到施工情况并采取相应措施。整体来看，此次占道施工对道路交通造成了一定影响，但未引发严重拥堵或事故。
31,4884,抛洒物_20240402065256_运行安全_35459975.mp4,拥堵,占道施工,2024年04月02日06:52:50至06:53:48，在某沪宁转外环外圈路段，视频显示该道路出现占道施工情况。涉事车辆包括一辆工程车和一辆小型货车，它们位于道路右侧车道上，占据部分车道空间，导致其他车辆需减速并变道行驶。施工区域设有警示牌和闪烁警示灯，对过往车辆的通行造成一定影响，车辆被迫绕行或减速，显示出明显的施工标志和施工设施。此行为符合占道施工的异常特征，即车道被施工设施遮挡，车辆通行受阻，且无其他交通异常情况出现。
32,4885,异常停车_20240515114643_突发事件_35592570.mp4,异常停车,抛洒物,2024年5月15日11时46分至11时47分，外环高速仙霞路（内）路段出现异常停车事件。一辆白色轿车在右侧车道完全静止，车辆未开启双闪灯，驾驶员下车后在车旁停留，疑似发生故障。该车停靠位置位于行车道内，非停车区域，且无交通信号灯或标志允许停车，导致后方多辆车辆被迫减速绕行，形成局部拥堵。周围车辆包括轿车、货车及厢式车均正常行驶，但因该车异常停车影响通行，存在安全隐患。现场无施工设施、无二轮车辆闯入、无抛洒物或事故迹象，初步判断为临时故障性停车。
35,4888,二轮车辆闯入_20230718135047_突发事件_1961042.mp4,多车事故,二轮车辆闯入,2023年7月18日13时50分43秒，在外环高速莘庄立交北段，一辆二轮摩托车从画面左侧驶入主车道，沿最左侧车道由南向北行驶，驾驶员身穿深色衣物并佩戴头盔，车辆在车流中穿行，未见专用二轮车道或明显禁止标志，其行为属于闯入禁止通行区域，存在逆行、横穿车道等危险驾驶特征，对周边正常行驶的机动车造成潜在安全隐患，引发后方车辆避让动作，影响道路通行安全。该行为符合二轮车辆闯入交通异常事件特征。
38,4891,拥堵_20240108171924_突发事件_35302871.mp4,拥堵,多车事故,2024年01月18日17:21:55至17:22:03，在外环高速富长路西枪机1路段，发生了一起多车事故。涉事车辆包括一辆白色轿车和一辆白色SUV，白色轿车与白色SUV在行驶过程中发生碰撞，导致白色SUV停在车道上，车身明显受损，而白色轿车则停在后方。事故发生后，驾驶员下车查看情况，现场其他车辆被迫减速或绕行，交通秩序受到一定程度的影响。异常特征表现为车辆位置异常、刹车灯亮起以及后方车辆避让行为，显示出事故的典型特征。
40,4893,拥堵_20231229144249_突发事件_35276877.mp4,拥堵,多车事故,2023年12月29日14时42分至14时43分，嘉闵西侧定焦03监控点位拍摄到隧道内发生多车事故。事故发生在隧道中段，涉事车辆包括一辆白色SUV和一辆银色轿车，多辆车辆刹车灯亮起，表明车速极快，部分车辆在行驶过程中发生追尾或碰撞。事故现场未见明显人员下车交涉或交警到场处理，但车辆位置异常，部分车辆横跨车道或斜停，导致后方车辆被迫减速避让。事故造成隧道内交通拥堵，车辆排队长度持续增加，影响通行效率。异常特征表现为车辆密集、刹车灯密集亮起、车流行为紊乱，符合多车事故判断标准。
41,4894,异常停车_20240614134000_突发事件_35704595.mp4,异常停车,多车事故,2024年6月13日14时44分，外环高速沪太立交西段，一辆红色货车在最右侧车道内停靠，开启双闪灯，驾驶员下车活动。
47,4900,拥堵_20231208081125_突发事件_35203668.mp4,抛洒物,拥堵,2023年12月8日星期五上午8时11分至8时12分，位于城市高架道路主干道上发生持续性交通拥堵事件。该路段为多车道高架桥，双向通行，右侧匝道连接城市主干道与匝道。视频显示，主路车流密集，车辆以低速或短暂停滞状态缓慢行驶，车距明显缩短，多辆轿车、货车及客车在多个车道内排队缓行，部分车辆尾灯亮起，表明处于低速或停止状态。左侧对向车道车流相对顺畅，未见明显拥堵或事故迹象。右侧匝道区域虽有车辆通行，但整体车流量较大，且存在大型货车及集装箱运输车等特殊车辆，导致右侧车道通行效率下降。整个拥堵区域持续约1分钟，影响范围覆盖多个车道，车辆通行速度显著降低，符合典型早高峰时段因车流量大引发的交通拥堵特征。
49,4902,异常停车_20230718221620_突发事件_1963284.mp4,异常停车,拥堵,2023年7月18日22时16分至22时17分，夜间高速公路路段出现交通拥堵事件。该路段为双向车道，路面湿滑，夜间照明条件下，车辆灯光反射明显。视频显示，多辆机动车在行车道上缓慢行驶或完全停止，车流密集且持续时间较长，车辆间距明显缩小，部分车辆刹车灯持续亮起，表明车速极低或处于停滞状态。涉事车辆包括多辆轿车、货车及一辆大型运输车，其中大型货车在车流中占据较大空间，导致后方车辆被迫减速或绕行。由于车流密度高，车辆间无明显变道行为，但整体通行效率显著下降，形成典型的拥堵现象。未见异常停车、施工设施、抛洒物或交通事故迹象，也无二轮车辆闯入情况，推测拥堵可能由前方交通瓶颈或突发性车流集中引发。该事件对夜间行车安全造成一定影响，建议驾驶员减速慢行以应对该路段的拥堵状况。
51,4904,异常停车_20240605172354_突发事件_35677124.mp4,异常停车,拥堵,2024年5月8日17时27分至17时28分，位于城市快速路某路段（路面标有“停车”字样）发生交通拥堵事件。该路段为多车道高速公路，天气为雨天，路面湿滑，能见度较低。视频显示，从17:27:48开始，右侧车道车辆行驶缓慢，车流密集，多辆轿车、货车及厢式运输车依次排队通过，尾灯持续亮起，表明车辆处于低速行驶或短暂停滞状态。期间，一辆红色货车和一辆蓝色货车从右侧车道驶过，均未对拥堵产生明显影响。由于车流量大且天气恶劣，车辆间距明显缩小，后方车辆被迫减速并保持安全距离，形成持续性拥堵。此拥堵现象未见明显事故或障碍物，推测为高峰时段车流集中所致，属于典型的雨天高速公路拥堵事件，对通行效率造成一定影响。
52,4905,二轮车辆闯入_20230715130525_突发事件_1149786.mp4,二轮车辆闯入,异常停车,2023年7月15日13时05分至13时06分，外环高速仙霞路（内）路段出现异常停车事件。一辆白色轿车在右侧应急车道完全停止，车辆未开启双闪灯，驾驶员下车查看情况，符合异常停车行为。
